# Player,AVG,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT,PO,A,E,FLD%
"5 Rappoli, Reece",0.326,12-Dec,46,4,15,4,0,0,3,19,0.413,2,1,7,2,0.367,0,0,2-Jan,21,27,3,0.941
"20 Brasher, Nathan",0.311,15-15,61,10,19,1,1,1,7,25,0.41,4,1,20,0,0.364,0,0,2-Feb,17,1,1,0.947
"34 Marra, Ryan",0.293,15-15,58,6,17,2,0,4,5,31,0.534,2,3,16,0,0.344,1,0,3-Feb,115,9,2,0.984
"15 Sass, Ray",0.261,15-15,46,7,12,0,0,1,4,15,0.326,9,0,10,1,0.382,0,0,3-Mar,14,46,3,0.952
"7 Morphew, Derian",0.242,15-15,62,6,15,2,1,1,4,22,0.355,5,0,25,0,0.299,0,0,5-Mar,36,0,0,1
"19 Hipp, Jackson",0.196,15-15,51,7,10,0,1,2,10,18,0.353,3,1,23,1,0.25,1,0,1-Jan,25,1,1,0.963
"22 Burley, Jacob",0.173,15-15,52,6,9,1,0,1,5,13,0.25,6,1,20,0,0.267,1,0,3-Feb,116,13,4,0.97
"2 Boree, Gunner",0.154,15-15,52,4,8,4,1,1,7,17,0.327,7,1,26,0,0.262,1,0,1-Jan,5,29,5,0.872
"8 Rooks, Quinn",0.167,Apr-00,6,1,1,0,0,0,0,1,0.167,0,0,3,0,0.167,0,0,0-0,6,0,1,0.857
"14 Lang, Chris",0.118,6-Jul,17,2,2,1,0,0,0,3,0.176,3,0,13,0,0.25,0,1,0-0,0,0,0,0
"32 Johnson, Jared",0.083,4-Jun,12,2,1,0,0,0,2,1,0.083,3,0,7,0,0.25,1,0,0-1,4,0,0,1
"4 Crawford, Charles",0.08,8-Sep,25,2,2,0,1,0,0,4,0.16,2,0,15,0,0.148,0,0,2-Feb,2,6,0,1
Totals,0.227,15-15,488,57,111,15,5,11,47,169,0.346,46,8,185,4,0.302,5,1,17-23,368,152,22,0.959
Opponents,0.274,15-15,486,89,133,29,5,8,77,196,0.403,55,15,116,4,0.362,5,8,13-19,393,101,12,0.976
