# Player,ERA,W-L,APP,GS,CG,SHO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,B/AVG,WP,HP,BK,SFA,SHA
"13 McDonough, Tobey",2.1,1-Feb,5,5,1,0-0,0,30,18,8,7,8,26,3,1,1,0.168,4,1,0,0,0
"12 Wilder, Joshua",2.7,0-0,2,0,0,0-0,0,3.1,1,1,1,5,2,1,0,0,0.091,0,0,0,0,0
"3 Olsen, Bobby",3.1,0-1,6,3,0,0-0,0,29,25,14,10,8,27,6,0,1,0.227,5,5,0,0,4
"36 Meyers, Paxton",3.37,Jan-00,7,0,0,0-0,1,10.2,4,4,4,5,14,1,1,1,0.114,2,1,1,0,0
"6 Lockhart, Gauge",6.75,0-2,4,0,0,0-0,0,4,7,6,3,5,2,0,0,0,0.368,2,1,0,0,0
"9 Fogell, Zach",8.76,0-3,5,3,0,0-0,0,12.1,20,15,12,8,16,4,0,3,0.364,4,3,0,1,1
"27 Seppings, Jack",9,0-0,4,0,0,0-0,0,6,8,6,6,2,11,4,1,0,0.308,3,1,0,0,0
"18 Gottam, Santhosh",9.17,3-Jan,5,4,0,0-0,0,17.2,32,19,18,3,14,5,1,2,0.395,3,2,0,2,2
"1 Beilenson, Charlie",9.64,0-1,4,0,0,0-0,1,4.2,7,6,5,4,4,3,0,0,0.368,3,0,0,1,1
"17 Kuntz, Ryan",9.82,0-0,3,0,0,0-0,0,3.2,4,4,4,5,0,0,1,0,0.308,0,1,0,0,0
"25 Young, Jacob",36,0-0,3,0,0,0-0,0,1,6,4,4,1,0,1,0,0,0.75,0,0,0,1,0
"23 Duncan, Sam",54,0-0,1,0,0,0-0,0,0.1,1,2,2,1,0,1,0,0,0.5,1,0,0,0,0
Totals,5.58,11-Apr,49,15,1,0,2,122.2,133,89,76,55,116,29,5,8,0.274,27,15,1,5,8
Opponents,3.37,4-Nov,57,15,1,2,7,131,111,57,49,46,185,15,5,11,0.227,18,8,1,5,1
