# Player,C,PO,A,E,FLD%,DP,SBA,CSB,SBA%,PB,CI
"22 Schott, Hayden",39,38,1,0,1,0,0,0,—,0,0
"43 Blackwell, Miles",16,15,1,0,1,0,0,1,—,0,0
"41 Selinsky, Skye",15,15,0,0,1,0,0,0,—,0,0
"24 Krylov, Alex",8,5,3,0,1,0,2,2,0.5,1,0
"28 Ogden, JD",8,1,7,0,1,0,0,0,—,0,0
"9 Madrigal, Brandon",4,1,3,0,1,0,1,3,0.25,0,0
"27 May, Saajan",4,4,0,0,1,0,1,0,1,0,0
"16 Cooper, Jack",3,2,1,0,1,0,0,0,—,0,0
"37 Hubble, Camron",3,0,3,0,1,0,2,2,0.5,0,0
"45 Sheets, Joe",3,2,1,0,1,0,1,1,0.5,0,0
"32 Yoo, Derek",2,2,0,0,1,0,0,0,—,0,0
"34 Kreutzmann, EJ",1,1,0,0,1,0,0,0,—,0,0
"5 Corso, Kyle",1,1,0,0,1,0,0,0,—,0,0
"14 Healy, Phil",1,0,1,0,1,0,0,0,—,0,0
"17 Palfrey, Griffin",55,22,32,1,0.982,5,0,0,—,0,0
"23 MacGregor, Tyler",168,146,18,4,0.976,13,0,0,—,0,0
"40 Solomon, Joshua",41,39,1,1,0.976,0,0,0,—,0,0
"38 Eberly, Weston",129,107,18,4,0.969,1,9,6,0.6,1,0
"3 Mowrey, Austin",29,8,20,1,0.966,6,0,0,—,0,0
"26 Hage, Cole",24,21,2,1,0.958,1,0,0,—,0,0
"21 Phelps, Jacob",85,20,59,6,0.929,10,0,0,—,0,0
"15 Lazits, Anton",31,15,13,3,0.903,2,0,0,—,0,0
"10 Higgins, Sean",8,5,2,1,0.875,0,0,0,—,0,0
"25 Decker, Mike",7,2,4,1,0.857,1,0,0,—,0,0
"36 Tucker, Justin",5,2,1,2,0.6,0,1,3,0.25,0,0
"33 Black, Billy",3,0,1,2,0.333,0,2,0,1,0,0
"42 Blake, Andy",0,0,0,0,0,0,0,0,—,0,0
"13 Dardar, Seth",0,0,0,0,0,0,0,0,—,0,0
"2 San Jule, John",0,0,0,0,0,0,0,0,—,0,0
"30 Parkinson, Will",0,0,0,0,0,0,1,0,1,0,0
"35 Edwards, Jagger",0,0,0,0,0,0,2,0,1,0,0
"29 Leon, Andy",0,0,0,0,0,0,0,0,—,0,0
Totals,693,474,192,27,0.961,39,11,9,0.55,2,0
Opponents,689,498,174,17,0.975,19,22,5,0.8,5,0
