# Player,ERA,W-L,APP,GS,CG,SHO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,B/AVG,WP,HP,BK,SFA,SHA
"36 Tucker, Justin",0,1-Jan,6,0,0,0-0,0,7,5,2,0,4,4,1,0,0,0.217,3,2,0,0,1
"17 Palfrey, Griffin",1.29,Feb-00,5,1,0,0-0,0,7,6,1,1,1,10,2,0,1,0.25,1,1,0,0,1
"14 Healy, Phil",3,0-0,2,0,0,0-0,0,3,3,1,1,1,3,2,0,0,0.25,2,0,0,0,0
"28 Ogden, JD",4.2,0-2,7,1,0,0-0,1,15,15,8,7,12,7,2,0,0,0.273,1,0,0,0,1
"27 May, Saajan",4.5,Jan-00,5,0,0,0-0,1,18,20,9,9,5,14,7,0,1,0.274,1,3,0,1,0
"37 Hubble, Camron",6.1,0-0,6,0,0,0-0,0,10.1,13,7,7,6,7,4,0,2,0.333,1,0,0,0,2
"10 Higgins, Sean",6.38,3-Feb,5,5,0,0-0,0,24,33,17,17,8,19,7,1,3,0.327,1,1,0,0,0
"29 Leon, Andy",6.48,Jan-00,3,1,0,0-0,0,8.1,12,6,6,0,10,3,0,3,0.324,0,2,0,0,0
"32 Yoo, Derek",6.57,0-1,6,1,0,0-0,0,12.1,18,13,9,6,11,8,0,0,0.327,1,0,0,2,0
"45 Sheets, Joe",7.71,0-1,5,4,0,0-0,0,16.1,28,15,14,6,12,1,1,2,0.378,0,1,0,0,0
"33 Black, Billy",9.35,0-4,5,5,0,0-0,0,17.1,24,23,18,12,11,5,0,3,0.333,3,1,1,2,2
"9 Madrigal, Brandon",9.53,0-0,6,0,0,0-0,0,11.1,14,14,12,8,6,3,0,1,0.35,4,6,0,1,3
"30 Parkinson, Will",10.29,0-0,5,1,0,0-0,0,7,13,10,8,3,6,2,1,1,0.382,3,3,0,0,0
"35 Edwards, Jagger",18,0-0,1,0,0,0-0,0,1,2,2,2,3,2,0,0,0,0.5,1,1,0,0,1
Totals,6.32,12-Jul,67,19,0,0,2,158,206,128,111,75,122,47,3,17,0.32,22,21,1,6,11
Opponents,5.23,7-Dec,68,19,0,1,7,166.3,160,107,97,57,180,30,5,21,0.253,14,14,0,12,4
