# Player,AVG,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT,PO,A,E,FLD%
"30 Hollerbach, Joe",0.345,14-14,58,7,20,5,1,3,9,36,0.621,8,0,21,4,0.424,0,0,3-Mar,10,29,4,0.907
"2 Barnhorst, Matt",0.278,10-Nov,36,10,10,3,0,2,3,19,0.528,5,2,15,1,0.395,0,0,5-Apr,23,27,2,0.962
"41 Jensen, Max",0.277,13-11,47,7,13,3,1,1,8,21,0.447,3,0,7,0,0.314,1,0,1-Jan,106,9,0,1
"38 Porter, Ryan",0.269,13-9,26,9,7,1,1,1,5,13,0.5,10,1,9,0,0.474,1,0,4-Mar,11,33,1,0.978
"5 Guy, Wils",0.244,14-12,45,8,11,3,0,1,9,17,0.378,13,1,14,0,0.417,1,1,6-May,20,2,2,0.917
"25 Apostle, Jason",0.222,13-10,36,8,8,1,0,1,4,12,0.333,5,2,15,1,0.349,0,0,1-Jan,11,0,0,1
"35 Flematti, Austin",0.22,12-Dec,50,5,11,2,0,0,7,13,0.26,4,0,12,1,0.278,0,0,0-0,14,1,1,0.938
"22 Davis, Jakobi",0.208,14-13,48,10,10,1,1,0,8,13,0.271,6,1,23,0,0.304,1,1,3-Mar,34,0,0,1
"1 Quinlan, John",0.444,1-Jun,9,2,4,1,0,0,0,5,0.556,0,0,2,0,0.444,0,0,0-0,3,0,1,0.75
"40 Waugh, Nathan",0.308,6-Oct,26,7,8,1,1,2,3,17,0.654,5,0,12,0,0.419,0,0,0-0,38,4,4,0.913
"3 Ross, Ryan",0.28,7-Oct,25,6,7,2,2,2,9,19,0.76,4,3,12,0,0.438,0,0,0-1,14,9,1,0.958
"23 Mack, Braden",0.19,6-Sep,21,4,4,1,0,0,2,5,0.238,1,1,8,1,0.261,0,0,0-0,30,6,0,1
"13 Russell, Shane",0.154,3-Aug,13,0,2,0,0,0,2,2,0.154,0,0,10,0,0.154,0,0,0-0,17,2,1,0.95
"11 Charles, Lachlan",0.125,2-Jun,8,1,1,1,0,0,1,2,0.25,1,0,6,0,0.222,0,0,0-0,1,0,1,0.5
"19 Musser, Kyle",0.125,1-May,8,1,1,0,0,0,1,1,0.125,1,0,6,0,0.222,0,0,0-0,3,0,0,1
"15 Kaplan, Sam",0.111,4-Sep,18,0,2,1,0,0,2,3,0.167,1,0,11,0,0.158,0,0,0-0,10,0,0,1
"8 Alonso, Franco",0,4-Oct,11,2,0,0,0,0,0,0,0,3,0,7,0,0.214,0,1,1-Jan,5,7,4,0.75
"21 Diaz, Elijah",0,1-Apr,5,1,0,0,0,0,0,0,0,3,0,2,0,0.375,0,0,0-1,1,0,0,1
Totals,0.243,14-14,490,88,119,26,7,13,73,198,0.404,73,11,192,8,0.351,4,3,21-26,358,146,26,0.951
Opponents,0.323,14-14,496,172,160,30,7,17,149,255,0.514,101,38,87,8,0.463,11,9,27-30,381,79,24,0.95
