Player,c,po,a,e,fld%,dp,sba,csb,sba%,pb,ci
"41 Jensen, Max",75,68,7,0,1,6,0,0,. 0 0 0,0,0
"23 Mack, Braden",31,26,5,0,1,0,14,0,1,4,0
"22 Davis, Jakobi",29,29,0,0,1,0,0,0,. 0 0 0,0,0
"15 Kaplan, Sam",10,10,0,0,1,0,0,0,. 0 0 0,0,0
"25 Apostle, Jason",9,9,0,0,1,0,0,0,. 0 0 0,0,0
"12 Yacinich, Luke",5,1,4,0,1,0,7,0,1,0,0
"28 Edwards, Spencer",4,2,2,0,1,0,5,1,. 8 3 3,0,0
"35 Flematti, Austin",4,4,0,0,1,0,0,0,. 0 0 0,0,0
"27 Gilbert, William",3,1,2,0,1,0,0,0,. 0 0 0,0,0
"19 Musser, Kyle",3,3,0,0,1,0,0,0,. 0 0 0,0,0
"34 Baker, Von",2,1,1,0,1,0,5,0,1,0,0
"21 Diaz, Elijah",1,1,0,0,1,0,0,0,. 0 0 0,0,0
"33 Cushing, Kevin",1,0,1,0,1,0,1,0,1,0,0
"38 Porter, Ryan",35,9,25,1,0.971,5,0,0,. 0 0 0,0,0
"2 Barnhorst, Matt",35,18,16,1,0.971,3,0,0,. 0 0 0,0,0
"3 Ross, Ryan",24,14,9,1,0.958,3,0,0,. 0 0 0,0,0
"13 Russell, Shane",19,16,2,1,0.947,1,0,0,. 0 0 0,0,0
"40 Waugh, Nathan",38,31,4,3,0.921,0,13,2,. 8 6 7,3,0
"30 Hollerbach, Joe",33,9,21,3,0.909,1,0,0,. 0 0 0,0,0
"5 Guy, Wils",17,14,1,2,0.882,0,0,0,. 0 0 0,0,0
"8 Alonso, Franco",16,5,7,4,0.75,1,1,0,1,0,0
"1 Quinlan, John",4,3,0,1,0.75,0,1,0,1,1,0
"11 Charles, Lachlan",2,1,0,1,0.5,0,0,0,. 0 0 0,0,0
"20 Ellison, Chris",5,2,0,3,0.4,0,4,1,. 8 0 0,0,0
"17 Stephens, William",0,0,0,0,0,0,0,0,. 0 0 0,0,0
"29 Long, Will",0,0,0,0,0,0,3,0,1,0,0
"26 Clancy, Tom",0,0,0,0,0,0,0,0,. 0 0 0,0,0
Totals,405,277,107,21,0.948,7,27,2,. 9 3 1,8,0
Opponents,375,300,57,18,0.952,8,18,4,. 8 1 8,4,0
