# Player,ERA,W-L,APP,GS,CG,SHO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,B/AVG,WP,HP,BK,SFA,SHA
"38 Porter, Ryan",4.05,0-0,6,0,0,0-0,0,6.2,6,8,3,4,5,1,1,1,0.214,5,1,0,0,0
"27 Gilbert, William",5.79,0-1,6,0,0,0-0,1,4.2,7,7,3,3,4,1,1,0,0.333,1,1,0,0,1
"12 Yacinich, Luke",6.75,1-Jan,5,5,0,0-0,0,28,27,25,21,18,24,7,0,3,0.26,4,8,0,1,2
"8 Alonso, Franco",7.11,0-0,6,0,0,0-0,0,6.1,8,6,5,4,2,2,0,1,0.333,4,1,0,1,0
"20 Ellison, Chris",9,0-0,8,0,0,0-0,0,13,23,17,13,10,8,6,0,2,0.39,2,2,0,1,1
"28 Edwards, Spencer",11.45,4-Jan,5,5,0,0-0,0,22,26,33,28,17,18,5,1,5,0.289,1,6,0,2,1
"33 Cushing, Kevin",12.41,0-2,6,2,0,0-0,0,12.1,16,18,17,12,6,1,1,3,0.314,4,5,1,0,2
"34 Baker, Von",14.11,0-2,6,2,0,0-0,0,14.2,17,24,23,21,13,3,0,0,0.298,7,8,0,2,1
"23 Mack, Braden",16.2,1-Jan,4,0,0,0-0,0,6.2,18,15,12,5,5,3,2,2,0.474,0,0,0,1,0
"17 Stephens, William",19.29,0-0,1,0,0,0-0,0,2.1,6,5,5,1,0,1,0,0,0.545,1,1,0,2,0
"26 Clancy, Tom",20.25,0-0,2,0,0,0-0,0,1.1,3,7,3,3,1,0,0,0,0.375,3,2,1,0,0
"29 Long, Will",40.5,0-0,2,0,0,0-0,0,1.1,3,7,6,3,1,0,1,0,0.6,2,3,0,1,1
Totals,10.41,11-Mar,57,14,0,0,1,119.1,160,172,138,101,87,30,7,17,0.323,34,38,2,11,9
Opponents,4.36,3-Nov,48,14,0,0,2,127.3,119,88,62,73,192,26,7,13,0.243,19,11,1,4,3
