# Player,AVG,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT,PO,A,E,FLD%
"17 Cox, Tyler",0.371,18-18,70,18,26,1,1,0,14,29,0.414,7,2,7,1,0.427,3,3,3-Mar,34,39,4,0.948
"23 Bertsch, Connor",0.339,16-16,62,12,21,5,0,4,14,38,0.613,7,0,12,2,0.406,0,0,1-Jan,15,24,6,0.867
"5 Murray, Justin",0.326,16-16,46,10,15,8,0,0,6,23,0.5,8,0,8,2,0.418,1,1,0-0,43,3,1,0.979
"24 Kretzschmar, Kade",0.324,17-17,71,9,23,3,3,2,22,38,0.535,1,1,13,1,0.338,1,0,0-1,40,0,1,0.976
"19 Freeman, Kolton",0.302,17-17,63,16,19,2,1,5,14,38,0.603,7,3,10,1,0.397,0,0,2-Jan,40,1,2,0.953
"16 Krewson, Elliot",0.264,16-12,53,9,14,1,0,0,3,15,0.283,6,1,3,2,0.344,1,1,0-0,9,20,2,0.935
"21 Cmeyla, Nathan",0.24,14-13,50,5,12,3,1,1,9,20,0.4,2,2,13,1,0.296,0,0,0-0,115,11,1,0.992
"7 House, James",0.346,8-Aug,26,7,9,1,2,0,11,14,0.538,4,3,3,2,0.485,0,0,0-0,1,0,0,1
"6 Schwartz, Ryan",0.333,Apr-00,3,0,1,1,0,0,1,2,0.667,0,0,0,0,0.333,0,0,0-0,0,0,0,0
"12 Casebonne, Zackarie",0.3,5-Jul,20,5,6,2,0,0,5,8,0.4,1,0,6,0,0.333,0,0,0-1,30,4,0,1
"34 Zajec, Max",0.233,8-Sep,30,4,7,4,0,0,1,11,0.367,4,0,5,2,0.324,0,0,0-0,49,4,0,1
"27 Hower, Jackson",0.219,7-Dec,32,3,7,3,0,0,2,10,0.313,1,2,8,0,0.286,0,0,1-Jan,18,1,0,1
"3 Robinson, Tyler",0.212,13-11,33,8,7,0,0,1,1,10,0.303,4,5,7,0,0.381,0,2,3-Feb,20,0,0,1
"4 Daniel, Bryce",0.184,11-Dec,38,9,7,1,0,0,3,8,0.211,7,1,7,0,0.319,1,0,7-Jun,12,15,5,0.844
"8 O'Toole, Peter",0.042,6-Nov,24,2,1,0,0,0,2,1,0.042,3,0,7,0,0.138,2,0,0-0,24,3,0,1
Totals,0.282,18-18,621,117,175,35,8,13,108,265,0.427,62,20,109,14,0.361,9,7,14-19,453,136,24,0.961
Opponents,0.295,18-18,623,139,184,40,8,17,121,291,0.467,79,28,145,7,0.395,6,4,29-37,462,189,34,0.95
