# Player,ERA,W-L,APP,GS,CG,SHO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,B/AVG,WP,HP,BK,SFA,SHA
"13 Gilmore, Clark",0,0-0,1,0,0,0-0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
"9 Bauer, Shane",1.69,Jan-00,4,0,0,0-0,0,5.1,4,2,1,3,8,2,0,0,0.2,0,0,0,0,0
"15 Skinner, Nathan",3,1-Feb,4,4,1,Jan-00,0,24,24,8,8,4,22,5,0,2,0.255,1,0,1,0,1
"29 Metzger, Jack",4.76,0-0,7,0,0,0-0,2,17,15,9,9,4,17,5,0,2,0.231,1,2,0,0,1
"40 Chappell, Brady",5.79,0-1,4,2,0,0-0,0,9.1,15,14,6,7,11,4,2,1,0.349,3,3,0,1,0
"22 Roland, Cole",5.87,1-Jan,5,0,0,0-0,1,7.2,5,8,5,9,8,1,0,0,0.185,1,0,1,1,0
"38 Verma, Kunaal",6.35,Jan-00,2,0,0,0-0,0,5.2,4,4,4,2,4,2,0,1,0.19,1,2,0,0,1
"14 Sarcone, Trystan",6.75,1-Feb,4,4,0,0-0,0,18.2,23,15,14,4,16,6,1,2,0.291,3,1,0,1,1
"28 Will, Danny",7.2,Jan-00,5,0,0,0-0,0,5,6,4,4,2,4,1,0,0,0.316,0,1,1,0,0
"20 Carpenter, Luke",7.36,0-0,3,0,0,0-0,0,7.1,8,6,6,4,4,4,0,0,0.267,2,5,0,0,0
"35 Cortland, Tyler",9,0-2,5,3,0,0-0,0,15,23,20,15,6,11,4,2,2,0.348,3,4,0,3,0
"5 Murray, Justin",10.29,3-Jan,5,5,0,0-0,0,21,32,24,24,11,23,3,2,2,0.36,1,4,2,0,0
"18 Shepherd, Will",15.43,0-0,6,0,0,0-0,0,4.2,9,8,8,4,2,1,0,3,0.409,1,2,0,0,0
"32 Carey, Matt",15.43,0-0,2,0,0,0-0,0,2.1,3,4,4,4,4,0,0,1,0.3,0,0,0,0,0
"30 Milberg, Devin",16.5,0-0,5,0,0,0-0,0,6,10,11,11,13,8,2,1,0,0.357,2,2,0,0,0
"1 Lee, Jeff",18,0-0,1,0,0,0-0,0,1,3,2,2,1,2,0,0,1,0.5,0,1,0,0,0
Totals,7.21,9-Sep,63,18,1,1,3,151,184,139,121,79,145,40,8,17,0.295,19,28,5,6,4
Opponents,5.55,9-Sep,72,18,0,0,3,154,175,117,95,62,109,35,8,13,0.282,13,20,2,9,7
