# Player,AVG,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT,PO,A,E,FLD%
"27 Snopek, Chris",0.397,18-18,68,12,27,4,0,1,12,34,0.5,8,3,17,1,0.481,0,0,0-2,20,1,2,0.913
"7 Bravo, Logan",0.345,15-15,58,9,20,7,0,1,6,30,0.517,4,1,12,1,0.397,0,0,0-1,80,8,1,0.989
"6 Cooper, George",0.247,18-18,77,13,19,6,0,3,8,34,0.442,5,1,21,1,0.294,2,1,0-0,23,38,3,0.953
"15 Berger, Jake",0.242,18-18,62,12,15,5,0,2,9,26,0.419,11,4,15,1,0.39,0,0,0-0,27,33,4,0.938
"11 Jacobsen, Will",0.228,17-17,57,6,13,2,0,0,3,15,0.263,2,0,8,4,0.254,0,2,1-Jan,14,18,4,0.889
"8 Baldwin, Hunter",0.225,15-14,40,5,9,3,0,0,6,12,0.3,7,1,19,0,0.354,0,1,2-Feb,45,1,0,1
"1 Messervy, Peter",0.189,15-10,37,6,7,2,0,1,2,12,0.324,4,0,10,0,0.268,0,0,0-1,17,2,0,1
"31 Feller, Sawyer",0.188,15-14,48,5,9,1,1,1,7,15,0.313,5,2,21,1,0.286,1,1,0-0,69,9,0,1
"24 Brown, Zach",0.162,17-17,68,8,11,2,0,1,4,16,0.235,5,0,19,1,0.219,0,1,0-0,114,12,2,0.984
"35 Levin, Peter",0.316,4-Jul,19,1,6,2,0,0,6,8,0.421,1,0,6,0,0.333,1,0,0-0,22,0,1,0.957
"9 Rounds, Ben",0.295,13-12,44,9,13,5,0,0,11,18,0.409,7,4,6,2,0.436,0,0,3-Jan,20,0,1,0.952
"22 Williams, Spencer",0.273,7-Nov,33,3,9,2,0,0,0,11,0.333,2,1,7,0,0.333,0,0,4-Apr,6,0,0,1
"13 Thomas, Pryor",0,Apr-00,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,1,0,0,1
"37 Austin, Brice",0,Jan-00,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0-0,0,0,0,0
"36 Buckley, Seamus",0,Jan-00,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0-0,0,0,0,0
"28 Matson, Sean",0,2-Jul,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0-0,0,1,0,1
"29 Schwartz, Grant",0,Jan-00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,0,0,0,0
Totals,0.255,18-18,619,90,158,41,1,10,74,231,0.373,61,17,164,12,0.337,4,6,14-Aug,460,135,19,0.969
Opponents,0.226,18-18,571,104,129,24,4,15,87,206,0.361,114,24,170,7,0.372,8,2,17-20,480,190,24,0.965
