# Player,ERA,W-L,APP,GS,CG,SHO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,B/AVG,WP,HP,BK,SFA,SHA
"23 Driver, Jay",0,0-0,7,0,0,0-2,3,12,4,0,0,3,20,1,0,0,0.105,3,1,0,1,0
"32 Mahala, Jack",0,0-0,1,0,0,0-0,0,1,0,0,0,2,2,0,0,0,0,0,1,0,0,0
"30 Narottam, Uday",1.46,Jan-00,6,0,0,0-0,1,12.1,9,4,2,5,10,1,1,0,0.205,0,1,0,0,1
"34 Clark, Chris",1.54,Jan-00,7,0,0,0-0,1,11.2,7,2,2,6,17,1,0,1,0.175,1,1,0,1,0
"25 Stone, Adam",3.95,2-Jan,4,4,0,0-1,0,13.2,11,15,6,20,16,3,0,0,0.22,3,3,1,0,0
"28 Matson, Sean",4.34,1-Jan,5,2,0,0-0,0,18.2,18,9,9,7,25,3,1,2,0.25,4,1,0,0,0
"11 Jacobsen, Will",5.11,2-Jan,5,2,0,0-0,1,12.1,11,9,7,7,4,4,0,1,0.239,0,2,1,2,0
"77 Williamson, Tim",5.18,1-Feb,5,5,0,0-1,0,24.1,19,14,14,16,21,5,1,2,0.207,2,4,1,1,0
"50 Smith, Tanner",5.4,Feb-00,8,0,0,0-2,0,10,9,9,6,10,12,1,0,3,0.231,4,0,1,0,0
"33 Buckner, Ian",6.75,0-0,2,0,0,0-0,0,6.2,6,7,5,4,7,2,0,2,0.222,4,1,0,0,0
"21 Zinn, Jaren",7.32,1-Feb,5,5,0,0-0,0,19.2,19,17,16,18,31,3,1,1,0.253,10,4,0,0,1
"17 Jordheim, Porter",9.95,0-0,5,0,0,0-0,0,6.1,6,7,7,9,5,0,0,1,0.286,1,2,0,2,0
"42 O'Connell, Joseph",13.5,0-0,2,0,0,0-0,0,2,4,3,3,2,0,0,0,1,0.4,0,1,0,0,0
"13 Thomas, Pryor",13.5,0-0,2,0,0,0-0,0,2.2,6,8,4,5,0,0,0,1,0.429,1,2,0,1,0
Totals,4.75,7-Nov,64,18,0,2,6,153.1,129,104,81,114,170,24,4,15,0.226,33,24,4,8,2
Opponents,3.63,11-Jul,71,18,1,2,2,160.3,158,90,65,61,164,41,1,10,0.255,13,17,1,4,6
