Player,C,PO,A,E,FLD%,DP,SBA,CSB,SBA%,PB,CI,
"Abello, Carlos",59,52,7,0,1,1,18,2,0.9,0,0,
"Scannell, Matt",49,44,5,0,1,1,3,0,1,0,0,
"Lewis, Nadir",29,29,0,0,1,0,0,0,0,0,0,
"Emus, Jackson",16,13,3,0,1,2,5,0,1,0,0,
"Kram, Kaden",15,15,0,0,1,0,3,0,1,0,0,
"Bandura, Scott",11,11,0,0,1,0,0,0,0,0,0,
"D'Alessio, Andrew",7,4,3,0,1,0,0,0,0,0,0,
"Marasheski, Eric",7,1,6,0,1,0,0,0,0,0,0,
"Shapiro, Caden",5,5,0,0,1,0,0,0,0,0,0,
"Hoefer, Eric",5,2,3,0,1,0,1,1,0.5,0,0,
"Chmielewski, Tom",4,0,4,0,1,0,2,1,0.667,0,0,
"DiPietrantonio, Nick",4,1,3,0,1,0,0,0,0,0,0,
"Jarvis, Patrick",2,0,2,0,1,0,1,0,1,0,0,
"Rabin, Reece",1,0,1,0,1,0,3,0,1,0,0,
"Vinci, Kyle",36,32,3,1,0.972,1,0,0,0,0,0,
"Espinel, Alejandro",20,4,15,1,0.95,1,0,0,0,0,0,
"Granet, Noah",45,17,25,3,0.933,2,0,0,0,0,0,
"Cumming, Brendan",25,23,0,2,0.92,0,0,0,0,0,0,
"Blowers, Kevin",11,4,6,1,0.909,0,0,0,0,0,0,
"Kelly, Jordan",26,7,13,6,0.769,0,0,0,0,0,0,
"Ferrer-Westrop, Rich",0,0,0,0,0,0,0,0,0,0,0,
"Ramirez, Jason",0,0,0,0,0,0,0,0,0,0,0,
"Zdimal, Max",0,0,0,0,0,0,1,0,1,0,0,
"Gabrielson, Keith",0,0,0,0,0,0,1,0,1,0,0,
"MacDonald, Caden",0,0,0,0,0,0,4,0,1,0,0,
Totals,377,264,99,14,0.963,3,21,2,0.913,0,0,
Opponents,367,291,67,9,0.975,4,3,3,0.5,3,0,
"20 Dromboski, Ryan",,0,0,0,0,0,0,0,0,â€”,0,0
"31 Neskie, Justin",,0,0,0,0,0,0,0,0,â€”,0,0
"14 Ozmer, Carson",,0,0,0,0,0,0,1,0,1,0,0
"15 Rogers, Drew",,0,0,0,0,0,0,0,0,â€”,0,0
"37 Trop, Eli",,0,0,0,0,0,0,0,0,â€”,0,0
Totals,,571,428,126,17,0.97,22,36,7,0.828,11,0
Opponents,,580,426,136,18,0.969,28,14,3,0.8,10,0
