Player,era,w-l,app-gs,cg,sho,sv,ip,h,r,er,bb,so,2b,3b,hr,ab,b/avg,wp,hbp,bk,sfa,sha
"Shapiro, Caden",0,0-0,Apr-00,0,0/0,0,4.1,2,0,0,3,0,0,1,0,14,0.143,0,0,0,0,0
"Ferrer-Westrop, Rich",0,0-0,Jan-00,0,0/0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0
"MacDonald, Caden",4.76,0-1,Jul-00,0,0/0,0,5.2,8,3,3,0,3,1,0,0,24,0.333,0,1,0,1,0
"Emus, Jackson",5.14,0-3,5-May,0,0/0,0,28,27,17,16,10,31,3,1,5,109,0.248,3,5,1,0,1
"Ramirez, Jason",6,0-1,1-May,0,0/0,0,9,11,6,6,1,5,1,0,1,35,0.314,1,1,0,1,1
"D'Alessio, Andrew",7.14,0-3,5-May,0,0/0,0,29,32,26,23,16,10,3,1,7,111,0.288,1,2,1,4,2
"Hoefer, Eric",7.53,1-Jan,Jun-00,0,0/0,0,14.1,22,15,12,7,8,5,0,3,62,0.355,1,1,0,1,1
"Zdimal, Max",8.44,0-0,Apr-00,0,0/0,0,5.1,8,5,5,2,5,2,0,2,24,0.333,1,2,1,0,0
"Chmielewski, Tom",9,3-Jan,5-May,0,0/0,0,23,41,29,23,8,18,9,0,2,109,0.376,2,2,0,4,3
"Jarvis, Patrick",9.53,0-0,Jun-00,0,0/0,1,11.1,11,13,12,10,12,3,0,2,47,0.234,2,5,0,0,0
"Rabin, Reece",13.09,0-3,2-May,0,0/0,0,11,21,21,16,7,6,6,0,3,53,0.396,1,3,0,0,3
"Scannell, Matt",13.5,0-1,Mar-00,0,0/0,0,4.2,6,8,7,11,3,0,0,1,17,0.353,1,3,0,0,2
"Gabrielson, Keith",19.29,0-0,Mar-00,0,0/0,0,2.1,5,5,5,3,1,3,0,0,12,0.417,0,0,0,0,0
Totals,7.73,16-Feb,18-18,0,0/0,1,149,194,148,128,78,103,36,3,26,620,0.313,13,25,3,11,13
Opponents,5.01,16-2,18-18,0,0/0,5,160,177,104,89,68,197,26,3,23,638,0.277,21,21,0,7,4
