# Player,AVG,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT,PO,A,E,FLD%
"4 Chatfield, Jimmy",0.349,17-17,63,14,22,2,0,5,21,39,0.619,13,2,11,0,0.468,1,0,6-May,36,1,1,0.974
"3 LaPlante, Mason",0.31,17-17,71,20,22,3,0,1,8,28,0.394,9,3,10,1,0.405,1,0,7-Jun,23,46,3,0.958
"24 Metzner, Ben",0.295,15-13,44,7,13,2,0,1,15,18,0.409,7,1,13,0,0.396,1,1,5-May,1,0,0,1
"9 Shaw, Colton",0.289,17-17,45,10,13,4,0,0,4,17,0.378,3,2,14,0,0.36,0,1,2-Feb,100,6,1,0.991
"11 Atkinson, Alec",0.273,17-17,66,13,18,7,0,0,12,25,0.379,9,1,9,0,0.359,2,0,2-Jan,49,4,1,0.981
"12 Gehri, Jake",0.241,17-15,54,10,13,1,0,4,14,26,0.481,5,3,16,1,0.328,2,0,3-Jan,126,14,1,0.993
"1 Swank, Carson",0.224,15-15,58,11,13,2,1,2,11,23,0.397,6,2,11,2,0.318,0,0,5-May,12,22,2,0.944
"6 Williams, Jake",0.217,14-13,46,7,10,3,0,0,2,13,0.283,5,0,15,0,0.294,0,0,2-Jan,14,26,0,1
"17 Martin, Tommy",0.208,17-17,53,9,11,1,1,0,6,14,0.264,8,1,15,0,0.317,1,2,2-Feb,29,2,2,0.939
"7 Hague, Teddy",0.5,1-Jan,2,0,1,0,0,0,0,1,0.5,1,0,1,0,0.667,0,0,0-0,0,0,0,0
"33 Imhoff, Max",0.333,2-May,9,0,3,1,0,0,1,4,0.444,1,0,3,0,0.4,0,0,0-1,19,1,1,0.952
"8 Pierantoni, Jeff",0.167,5-Nov,24,2,4,1,1,1,2,10,0.417,1,0,1,1,0.2,0,0,1-Jan,10,12,5,0.815
"35 Ciulla, Robert",0.167,Apr-00,6,0,1,0,0,0,0,1,0.167,0,0,2,0,0.167,0,0,0-0,1,0,0,1
"2 Gaich, AJ",0.148,6-Nov,27,1,4,0,0,0,4,4,0.148,2,0,13,0,0.207,0,1,1-Jan,14,0,0,1
"10 Blohowiak, Pierce",0.063,15-3,16,5,1,0,0,0,0,1,0.063,2,0,9,0,0.167,0,0,2-Feb,11,0,0,1
"14 Sobecki, Hayden",0,Mar-00,4,0,0,0,0,0,0,0,0,0,1,3,0,0.2,0,0,0-0,0,1,0,1
"27 Kim, Dylan",0,Feb-00,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0-0,0,0,0,0
"31 DeKay, Jamis",0,Mar-00,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0-0,0,0,0,0
Totals,0.252,17-17,591,110,149,27,3,14,100,224,0.379,73,17,147,5,0.347,8,5,32-39,449,148,17,0.972
Opponents,0.26,17-17,584,110,152,29,4,24,103,261,0.447,67,30,150,3,0.363,5,6,19-23,456,156,24,0.962
