Player,AVG,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT,PO,A,E,FLD%,GP,GS,School,Index,ISO,RC,BABIP,PA,K%,BB%,BABIP-AVG
"14 Lang, Chris",0.118,6-Jul,17,2,2,1,0,0,0,3,0.176,3,0,13,0,0.25,0,1,0-0,0,0,0,0.0,7,6,Brown,"14 Lang, Chris",0.057999999999999996,0.75,0.5,21,0.6190476190476191,0.14285714285714285,0.382
"20 Brasher, Nathan",0.311,15-15,61,10,19,1,1,1,7,25,0.41,4,1,20,0,0.364,0,0,2-Feb,17,1,1,0.947,15,15,Brown,"20 Brasher, Nathan",0.09899999999999998,8.846153846153847,0.45,66,0.30303030303030304,0.06060606060606061,0.139
"7 Morphew, Derian",0.242,15-15,62,6,15,2,1,1,4,22,0.355,5,0,25,0,0.299,0,0,5-Mar,36,0,0,1.0,15,15,Brown,"7 Morphew, Derian",0.11299999999999999,6.567164179104478,0.3888888888888889,67,0.373134328358209,0.07462686567164178,0.1468888888888889
"5 Rappoli, Reece",0.326,12-Dec,46,4,15,4,0,0,3,19,0.413,2,1,7,2,0.367,0,0,2-Jan,21,27,3,0.941,12,12,Brown,"5 Rappoli, Reece",0.08699999999999997,6.729166666666667,0.38461538461538464,49,0.14285714285714285,0.04081632653061224,0.058615384615384625
Opponents,0.274,15-15,486,89,133,29,5,8,77,196,0.403,55,15,116,4,0.362,5,8,13-19,393,101,12,0.976,15,15,Brown,Opponents,0.129,68.11090573012939,0.3405994550408719,569,0.2038664323374341,0.09666080843585237,0.06659945504087189
Totals,0.227,15-15,488,57,111,15,5,11,47,169,0.346,46,8,185,4,0.302,5,1,17-23,368,152,22,0.959,15,15,Brown,Totals,0.11899999999999997,49.68726591760299,0.3367003367003367,548,0.3375912408759124,0.08394160583941605,0.10970033670033671
"34 Marra, Ryan",0.293,15-15,58,6,17,2,0,4,5,31,0.534,2,3,16,0,0.344,1,0,3-Feb,115,9,2,0.984,15,15,Brown,"34 Marra, Ryan",0.24100000000000005,9.816666666666666,0.3333333333333333,64,0.25,0.03125,0.04033333333333333
"8 Rooks, Quinn",0.167,Apr-00,6,1,1,0,0,0,0,1,0.167,0,0,3,0,0.167,0,0,0-0,6,0,1,0.857,0,Apr,Brown,"8 Rooks, Quinn",0.0,0.16666666666666666,0.3333333333333333,6,0.5,0.0,0.1663333333333333
"15 Sass, Ray",0.261,15-15,46,7,12,0,0,1,4,15,0.326,9,0,10,1,0.382,0,0,3-Mar,14,46,3,0.952,15,15,Brown,"15 Sass, Ray",0.065,5.7272727272727275,0.3142857142857143,55,0.18181818181818182,0.16363636363636364,0.05328571428571427
"19 Hipp, Jackson",0.196,15-15,51,7,10,0,1,2,10,18,0.353,3,1,23,1,0.25,1,0,1-Jan,25,1,1,0.963,15,15,Brown,"19 Hipp, Jackson",0.15699999999999997,4.333333333333333,0.2962962962962963,56,0.4107142857142857,0.05357142857142857,0.10029629629629627
"2 Boree, Gunner",0.154,15-15,52,4,8,4,1,1,7,17,0.327,7,1,26,0,0.262,1,0,1-Jan,5,29,5,0.872,15,15,Brown,"2 Boree, Gunner",0.17300000000000001,4.322033898305085,0.2692307692307692,61,0.4262295081967213,0.11475409836065574,0.11523076923076922
"22 Burley, Jacob",0.173,15-15,52,6,9,1,0,1,5,13,0.25,6,1,20,0,0.267,1,0,3-Feb,116,13,4,0.97,15,15,Brown,"22 Burley, Jacob",0.07700000000000001,3.3620689655172415,0.25,60,0.3333333333333333,0.1,0.07700000000000001
"4 Crawford, Charles",0.08,8-Sep,25,2,2,0,1,0,0,4,0.16,2,0,15,0,0.148,0,0,2-Feb,2,6,0,1.0,9,8,Brown,"4 Crawford, Charles",0.08,0.5925925925925926,0.2,27,0.5555555555555556,0.07407407407407407,0.12000000000000001
"32 Johnson, Jared",0.083,4-Jun,12,2,1,0,0,0,2,1,0.083,3,0,7,0,0.25,1,0,0-1,4,0,0,1.0,6,4,Brown,"32 Johnson, Jared",0.0,0.26666666666666666,0.16666666666666666,16,0.4375,0.1875,0.08366666666666665
