Player,ERA,W-L,APP,GS,CG,SHO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,B/AVG,WP,HP,BK,SFA,SHA,School,Index,FIP,K/9,BB/9,K/BB,ERA-FIP,FIP-lgFIP
"25 Young, Jacob",36.0,0-0,3,0,0,0-0,0,1.0,6,4,4,1,0,1,0,0,0.75,0,0,0,1,0,Brown,"25 Young, Jacob",7.597047845266372,0.0,9.0,0.0,28.402952154733626,1.1303020020359682
"23 Duncan, Sam",54.0,0-0,1,0,0,0-0,0,0.1,1,2,2,1,0,1,0,0,0.5,1,0,0,0,0,Brown,"23 Duncan, Sam",34.597047845266374,0.0,90.0,0.0,19.402952154733626,28.130302002035968
"27 Seppings, Jack",9.0,0-0,4,0,0,0-0,0,6.0,8,6,6,2,11,4,1,0,0.308,3,1,0,0,0,Brown,"27 Seppings, Jack",2.430381178599706,16.5,3.0,5.5,6.569618821400294,-4.036364664630698
"1 Beilenson, Charlie",9.64,0-1,4,0,0,0-0,1,4.2,7,6,5,4,4,3,0,0,0.368,3,0,0,1,1,Brown,"1 Beilenson, Charlie",5.549428797647325,8.571428571428571,8.571428571428571,1.0,4.090571202352676,-0.9173170455830792
"18 Gottam, Santhosh",9.17,3-Jan,5,4,0,0-0,0,17.2,32,19,18,3,14,5,1,2,0.395,3,2,0,2,2,Brown,"18 Gottam, Santhosh",5.352861798754745,7.325581395348838,1.5697674418604652,4.666666666666667,3.817138201245255,-1.1138840444756593
"9 Fogell, Zach",8.76,0-3,5,3,0,0-0,0,12.1,20,15,12,8,16,4,0,3,0.364,4,3,0,1,1,Brown,"9 Fogell, Zach",7.902832969233314,11.900826446280993,5.9504132231404965,2.0,0.8571670307666857,1.43608712600291
Totals,5.58,11-Apr,49,15,1,0,2,122.2,133,89,76,55,116,29,5,8,0.274,27,15,1,5,8,Brown,Totals,5.268078941829383,8.543371522094926,4.050736497545008,2.109090909090909,0.31192105817061666,-1.1986669014010207
"17 Kuntz, Ryan",9.82,0-0,3,0,0,0-0,0,3.2,4,4,4,5,0,0,1,0,0.308,0,1,0,0,0,Brown,"17 Kuntz, Ryan",10.222047845266372,0.0,14.0625,0.0,-0.40204784526637205,3.755302002035968
Opponents,3.37,4-Nov,57,15,1,2,7,131.0,111,57,49,46,185,15,5,11,0.227,18,8,1,5,1,Brown,Opponents,4.100864639159502,12.709923664122137,3.1603053435114505,4.021739130434782,-0.7308646391595017,-2.3658812040709023
"6 Lockhart, Gauge",6.75,0-2,4,0,0,0-0,0,4.0,7,6,3,5,2,0,0,0,0.368,2,1,0,0,0,Brown,"6 Lockhart, Gauge",8.097047845266372,4.5,11.25,0.4,-1.3470478452663723,1.6303020020359682
"3 Olsen, Bobby",3.1,0-1,6,3,0,0-0,0,29.0,25,14,10,8,27,6,0,1,0.227,5,5,0,0,4,Brown,"3 Olsen, Bobby",4.528082328024993,8.379310344827585,2.4827586206896552,3.3749999999999996,-1.4280823280249932,-1.9386635152054108
"36 Meyers, Paxton",3.37,Jan-00,7,0,0,0-0,1,10.2,4,4,4,5,14,1,1,1,0.114,2,1,1,0,0,Brown,"36 Meyers, Paxton",4.891165492325196,12.352941176470589,4.411764705882353,2.8,-1.5211654923251956,-1.5755803509052084
"13 McDonough, Tobey",2.1,1-Feb,5,5,1,0-0,0,30.0,18,8,7,8,26,3,1,1,0.168,4,1,0,0,0,Brown,"13 McDonough, Tobey",4.197047845266372,7.8,2.4,3.25,-2.097047845266372,-2.269697997964032
"12 Wilder, Joshua",2.7,0-0,2,0,0,0-0,0,3.1,1,1,1,5,2,1,0,0,0.091,0,0,0,0,0,Brown,"12 Wilder, Joshua",8.145434942040566,5.806451612903226,14.516129032258064,0.4,-5.445434942040566,1.6786890988101622
