Player,ERA,W-L,APP,GS,CG,SHO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,B/AVG,WP,HP,BK,SFA,SHA,School,Index,FIP,K/9,BB/9,K/BB,ERA-FIP,FIP-lgFIP
"29 Long, Will",40.5,0-0,2,0,0,0-0,0,1.1,3,7,6,3,1,0,1,0,0.6,2,3,0,1,1,Cornell,"29 Long, Will",19.142502390720917,8.181818181818182,24.545454545454543,0.33333333333333337,21.357497609279083,12.675756547490513
"17 Stephens, William",19.29,0-0,1,0,0,0-0,0,2.1,6,5,5,1,0,1,0,0,0.545,1,1,0,2,0,Cornell,"17 Stephens, William",7.45419070240923,0.0,4.285714285714286,0.0,11.83580929759077,0.9874448591788259
"23 Mack, Braden",16.2,1-Jan,4,0,0,0-0,0,6.2,18,15,12,5,5,3,2,2,0.474,0,0,0,1,0,Cornell,"23 Mack, Braden",9.597047845266372,7.258064516129032,7.258064516129032,1.0,6.602952154733627,3.130302002035968
"34 Baker, Von",14.11,0-2,6,2,0,0-0,0,14.2,17,24,23,21,13,3,0,0,0.298,7,8,0,2,1,Cornell,"34 Baker, Von",8.892822493153696,8.23943661971831,13.309859154929578,0.6190476190476191,5.217177506846303,2.426076649923292
"26 Clancy, Tom",20.25,0-0,2,0,0,0-0,0,1.1,3,7,3,3,1,0,0,0,0.375,3,2,1,0,0,Cornell,"26 Clancy, Tom",16.415229663448187,8.181818181818182,24.545454545454543,0.33333333333333337,3.834770336551813,9.948483820217783
"28 Edwards, Spencer",11.45,4-Jan,5,5,0,0-0,0,22.0,26,33,28,17,18,5,1,5,0.289,1,6,0,2,1,Cornell,"28 Edwards, Spencer",9.051593299811827,7.363636363636363,6.954545454545454,1.0588235294117647,2.398406700188172,2.5848474565814232
Totals,10.41,11-Mar,57,14,0,0,1,119.1,160,172,138,101,87,30,7,17,0.323,34,38,2,11,9,Cornell,Totals,8.492933655509866,6.574307304785894,7.632241813602016,0.8613861386138614,1.9170663444901344,2.0261878122794617
"33 Cushing, Kevin",12.41,0-2,6,2,0,0-0,0,12.1,16,18,17,12,6,1,1,3,0.314,4,5,1,0,2,Cornell,"33 Cushing, Kevin",11.043328837001908,4.462809917355372,8.925619834710744,0.5,1.3666711629980917,4.576582993771504
"20 Ellison, Chris",9.0,0-0,8,0,0,0-0,0,13.0,23,17,13,10,8,6,0,2,0.39,2,2,0,1,1,Cornell,"20 Ellison, Chris",8.13550938372791,5.538461538461538,6.923076923076923,0.7999999999999999,0.8644906162720893,1.6687635404975065
"27 Gilbert, William",5.79,0-1,6,0,0,0-0,1,4.2,7,7,3,3,4,1,1,0,0.333,1,1,0,0,1,Cornell,"27 Gilbert, William",5.549428797647325,8.571428571428571,6.428571428571428,1.3333333333333335,0.24057120235267515,-0.9173170455830792
"12 Yacinich, Luke",6.75,1-Jan,5,5,0,0-0,0,28.0,27,25,21,18,24,7,0,3,0.26,4,8,0,1,2,Cornell,"12 Yacinich, Luke",7.061333559552087,7.714285714285714,5.785714285714286,1.3333333333333335,-0.31133355955208675,0.5945877163216826
Opponents,4.36,3-Nov,48,14,0,0,2,127.3,119,88,62,73,192,26,7,13,0.243,19,11,1,4,3,Cornell,Opponents,4.887699848408556,13.574234092694423,5.161036920659859,2.6301369863013697,-0.527699848408556,-1.5790459948218478
"8 Alonso, Franco",7.11,0-0,6,0,0,0-0,0,6.1,8,6,5,4,2,2,0,1,0.333,4,1,0,1,0,Cornell,"8 Alonso, Franco",8.53147407477457,2.9508196721311477,5.901639344262295,0.5,-1.4214740747745696,2.0647282315441657
"38 Porter, Ryan",4.05,0-0,6,0,0,0-0,0,6.2,6,8,3,4,5,1,1,1,0.214,5,1,0,0,0,Cornell,"38 Porter, Ryan",7.500273651717985,7.258064516129032,5.806451612903226,1.25,-3.4502736517179855,1.0335278084875812
