Player,AVG,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT,PO,A,E,FLD%,GP,GS,School,Index,ISO,RC,BABIP,PA,K%,BB%,BABIP-AVG
"12 Casebonne, Zackarie",0.3,5-Jul,20,5,6,2,0,0,5,8,0.4,1,0,6,0,0.333,0,0,0-1,30,4,0,1.0,7,5,Dartmouth,"12 Casebonne, Zackarie",0.10000000000000003,2.6666666666666665,0.42857142857142855,21,0.2857142857142857,0.047619047619047616,0.12857142857142856
"17 Cox, Tyler",0.371,18-18,70,18,26,1,1,0,14,29,0.414,7,2,7,1,0.427,3,3,3-Mar,34,39,4,0.948,18,18,Dartmouth,"17 Cox, Tyler",0.04299999999999998,12.428571428571429,0.3939393939393939,85,0.08235294117647059,0.08235294117647059,0.022939393939393926
"7 House, James",0.346,8-Aug,26,7,9,1,2,0,11,14,0.538,4,3,3,2,0.485,0,0,0-0,1,0,0,1.0,8,8,Dartmouth,"7 House, James",0.19200000000000006,6.066666666666666,0.391304347826087,33,0.09090909090909091,0.12121212121212122,0.045304347826087
"5 Murray, Justin",0.326,16-16,46,10,15,8,0,0,6,23,0.5,8,0,8,2,0.418,1,1,0-0,43,3,1,0.979,16,16,Dartmouth,"5 Murray, Justin",0.174,9.796296296296296,0.38461538461538464,56,0.14285714285714285,0.14285714285714285,0.058615384615384625
"23 Bertsch, Connor",0.339,16-16,62,12,21,5,0,4,14,38,0.613,7,0,12,2,0.406,0,0,1-Jan,15,24,6,0.867,16,16,Dartmouth,"23 Bertsch, Connor",0.27399999999999997,15.420289855072463,0.3695652173913043,69,0.17391304347826086,0.10144927536231885,0.0305652173913043
"24 Kretzschmar, Kade",0.324,17-17,71,9,23,3,3,2,22,38,0.535,1,1,13,1,0.338,1,0,0-1,40,0,1,0.976,17,17,Dartmouth,"24 Kretzschmar, Kade",0.21100000000000002,12.666666666666666,0.3684210526315789,74,0.17567567567567569,0.013513513513513514,0.04442105263157892
Opponents,0.295,18-18,623,139,184,40,8,17,121,291,0.467,79,28,145,7,0.395,6,4,29-37,462,189,34,0.95,18,18,Dartmouth,Opponents,0.17200000000000004,109.02136752136752,0.3576017130620985,740,0.19594594594594594,0.10675675675675676,0.0626017130620985
"6 Schwartz, Ryan",0.333,Apr-00,3,0,1,1,0,0,1,2,0.667,0,0,0,0,0.333,0,0,0-0,0,0,0,0.0,0,Apr,Dartmouth,"6 Schwartz, Ryan",0.334,0.6666666666666666,0.3333333333333333,3,0.0,0.0,0.0003333333333332966
Totals,0.282,18-18,621,117,175,35,8,13,108,265,0.427,62,20,109,14,0.361,9,7,14-19,453,136,24,0.961,18,18,Dartmouth,Totals,0.14500000000000002,91.95461200585652,0.3188976377952756,719,0.15159944367176634,0.08623087621696801,0.036897637795275606
"21 Cmeyla, Nathan",0.24,14-13,50,5,12,3,1,1,9,20,0.4,2,2,13,1,0.296,0,0,0-0,115,11,1,0.992,13,14,Dartmouth,"21 Cmeyla, Nathan",0.16000000000000003,5.384615384615385,0.3055555555555556,54,0.24074074074074073,0.037037037037037035,0.06555555555555559
"19 Freeman, Kolton",0.302,17-17,63,16,19,2,1,5,14,38,0.603,7,3,10,1,0.397,0,0,2-Jan,40,1,2,0.953,17,17,Dartmouth,"19 Freeman, Kolton",0.301,14.114285714285714,0.2916666666666667,73,0.136986301369863,0.0958904109589041,-0.010333333333333306
"27 Hower, Jackson",0.219,7-Dec,32,3,7,3,0,0,2,10,0.313,1,2,8,0,0.286,0,0,1-Jan,18,1,0,1.0,12,7,Dartmouth,"27 Hower, Jackson",0.094,2.4242424242424243,0.2916666666666667,35,0.22857142857142856,0.02857142857142857,0.07266666666666668
"34 Zajec, Max",0.233,8-Sep,30,4,7,4,0,0,1,11,0.367,4,0,5,2,0.324,0,0,0-0,49,4,0,1.0,9,8,Dartmouth,"34 Zajec, Max",0.13399999999999998,3.5588235294117645,0.28,34,0.14705882352941177,0.11764705882352941,0.047000000000000014
"16 Krewson, Elliot",0.264,16-12,53,9,14,1,0,0,3,15,0.283,6,1,3,2,0.344,1,1,0-0,9,20,2,0.935,12,16,Dartmouth,"16 Krewson, Elliot",0.01899999999999996,5.084745762711864,0.27450980392156865,62,0.04838709677419355,0.0967741935483871,0.010509803921568639
"3 Robinson, Tyler",0.212,13-11,33,8,7,0,0,1,1,10,0.303,4,5,7,0,0.381,0,2,3-Feb,20,0,0,1.0,11,13,Dartmouth,"3 Robinson, Tyler",0.091,2.972972972972973,0.24,44,0.1590909090909091,0.09090909090909091,0.027999999999999997
"4 Daniel, Bryce",0.184,11-Dec,38,9,7,1,0,0,3,8,0.211,7,1,7,0,0.319,1,0,7-Jun,12,15,5,0.844,12,11,Dartmouth,"4 Daniel, Bryce",0.026999999999999996,2.488888888888889,0.21875,47,0.14893617021276595,0.14893617021276595,0.03475
"8 O'Toole, Peter",0.042,6-Nov,24,2,1,0,0,0,2,1,0.042,3,0,7,0,0.138,2,0,0-0,24,3,0,1.0,11,6,Dartmouth,"8 O'Toole, Peter",0.0,0.14814814814814814,0.05263157894736842,29,0.2413793103448276,0.10344827586206896,0.010631578947368416
