Player,ERA,W-L,APP,GS,CG,SHO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,B/AVG,WP,HP,BK,SFA,SHA,School,Index,FIP,K/9,BB/9,K/BB,ERA-FIP,FIP-lgFIP
"30 Milberg, Devin",16.5,0-0,5,0,0,0-0,0,6.0,10,11,11,13,8,2,1,0,0.357,2,2,0,0,0,Dartmouth,"30 Milberg, Devin",9.430381178599706,12.0,19.5,0.6153846153846154,7.069618821400294,2.963635335369302
"5 Murray, Justin",10.29,3-Jan,5,5,0,0-0,0,21.0,32,24,24,11,23,3,2,2,0.36,1,4,2,0,0,Dartmouth,"5 Murray, Justin",5.787524035742563,9.857142857142858,4.714285714285714,2.090909090909091,4.502475964257436,-0.6792218074878411
"32 Carey, Matt",15.43,0-0,2,0,0,0-0,0,2.1,3,4,4,4,4,0,0,1,0.3,0,0,0,0,0,Dartmouth,"32 Carey, Matt",12.692285940504467,17.142857142857142,17.142857142857142,1.0,2.7377140594955325,6.225540097274063
"28 Will, Danny",7.2,Jan-00,5,0,0,0-0,0,5.0,6,4,4,2,4,1,0,0,0.316,0,1,1,0,0,Dartmouth,"28 Will, Danny",4.7970478452663725,7.2,3.6,2.0,2.4029521547336277,-1.6696979979640316
"35 Cortland, Tyler",9.0,0-2,5,3,0,0-0,0,15.0,23,20,15,6,11,4,2,2,0.348,3,4,0,3,0,Dartmouth,"35 Cortland, Tyler",6.863714511933039,6.6,3.6,1.8333333333333333,2.136285488066961,0.3969686687026348
"14 Sarcone, Trystan",6.75,1-Feb,4,4,0,0-0,0,18.2,23,15,14,4,16,6,1,2,0.291,3,1,0,1,1,Dartmouth,"14 Sarcone, Trystan",5.091553339771867,7.912087912087912,1.978021978021978,4.0,1.6584466602281331,-1.3751925034585373
Totals,7.21,9-Sep,63,18,1,1,3,151.0,184,139,121,79,145,40,8,17,0.295,19,28,5,6,4,Dartmouth,Totals,6.265922017451803,8.642384105960264,4.708609271523179,1.8354430379746833,0.9440779825481966,-0.2008238257786008
"20 Carpenter, Luke",7.36,0-0,3,0,0,0-0,0,7.1,8,6,6,4,4,4,0,0,0.267,2,5,0,0,0,Dartmouth,"20 Carpenter, Luke",7.273104183294541,5.070422535211268,5.070422535211268,1.0,0.08689581670545898,0.8063583400641372
"22 Roland, Cole",5.87,1-Jan,5,0,0,0-0,1,7.2,5,8,5,9,8,1,0,0,0.185,1,0,1,1,0,Dartmouth,"22 Roland, Cole",6.12482562304415,10.0,11.25,0.8888888888888888,-0.2548256230441499,-0.3419202201862541
Opponents,5.55,9-Sep,72,18,0,0,3,154.0,175,117,95,62,109,35,8,13,0.282,13,20,2,9,7,Dartmouth,Opponents,5.876268624487151,6.37012987012987,3.6233766233766236,1.758064516129032,-0.32626862448715155,-0.5904772187432528
"29 Metzger, Jack",4.76,0-0,7,0,0,0-0,2,17.0,15,9,9,4,17,5,0,2,0.231,1,2,0,0,1,Dartmouth,"29 Metzger, Jack",5.185283139384019,9.0,2.1176470588235294,4.25,-0.4252831393840193,-1.281462703846385
"40 Chappell, Brady",5.79,0-1,4,2,0,0-0,0,9.1,15,14,6,7,11,4,2,1,0.349,3,3,0,1,0,Dartmouth,"40 Chappell, Brady",6.904740152958681,10.87912087912088,6.923076923076923,1.5714285714285714,-1.1147401529586807,0.4379943097282766
"15 Skinner, Nathan",3.0,1-Feb,4,4,1,Jan-00,0,24.0,24,8,8,4,22,5,0,2,0.255,1,0,1,0,1,Dartmouth,"15 Skinner, Nathan",4.347047845266372,8.25,1.5,5.5,-1.3470478452663723,-2.119697997964032
"38 Verma, Kunaal",6.35,Jan-00,2,0,0,0-0,0,5.2,4,4,4,2,4,2,0,1,0.19,1,2,0,0,1,Dartmouth,"38 Verma, Kunaal",7.8662786144971415,6.9230769230769225,3.4615384615384612,2.0,-1.5162786144971419,1.3995327712667374
"9 Bauer, Shane",1.69,Jan-00,4,0,0,0-0,0,5.1,4,2,1,3,8,2,0,0,0.2,0,0,0,0,0,Dartmouth,"9 Bauer, Shane",3.224498825658529,14.11764705882353,5.294117647058824,2.6666666666666665,-1.5344988256585292,-3.242247017571875
"1 Lee, Jeff",18.0,0-0,1,0,0,0-0,0,1.0,3,2,2,1,2,0,0,1,0.5,0,1,0,0,0,Dartmouth,"1 Lee, Jeff",19.597047845266374,18.0,9.0,2.0,-1.597047845266374,13.13030200203597
"18 Shepherd, Will",15.43,0-0,6,0,0,0-0,0,4.2,9,8,8,4,2,1,0,3,0.409,1,2,0,0,0,Dartmouth,"18 Shepherd, Will",17.21609546431399,4.285714285714286,8.571428571428571,0.5,-1.7860954643139912,10.749349621083587
"13 Gilmore, Clark",0.0,0-0,1,0,0,0-0,0,1.0,0,0,0,1,1,0,0,0,0.0,0,1,0,0,0,Dartmouth,"13 Gilmore, Clark",8.597047845266372,9.0,9.0,1.0,-8.597047845266372,2.130302002035968
