Player,AVG,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT,PO,A,E,FLD%,GP,GS,School,Index,ISO,RC,BABIP,PA,K%,BB%,BABIP-AVG
"27 Snopek, Chris",0.397,18-18,68,12,27,4,0,1,12,34,0.5,8,3,17,1,0.481,0,0,0-2,20,1,2,0.913,18,18,Harvard,"27 Snopek, Chris",0.10299999999999998,15.657894736842104,0.52,79,0.21518987341772153,0.10126582278481013,0.123
"8 Baldwin, Hunter",0.225,15-14,40,5,9,3,0,0,6,12,0.3,7,1,19,0,0.354,0,1,2-Feb,45,1,0,1.0,14,15,Harvard,"8 Baldwin, Hunter",0.07499999999999998,4.085106382978723,0.42857142857142855,49,0.3877551020408163,0.14285714285714285,0.20357142857142854
"35 Levin, Peter",0.316,4-Jul,19,1,6,2,0,0,6,8,0.421,1,0,6,0,0.333,1,0,0-0,22,0,1,0.957,7,4,Harvard,"35 Levin, Peter",0.10499999999999998,2.8,0.42857142857142855,21,0.2857142857142857,0.047619047619047616,0.11257142857142854
"7 Bravo, Logan",0.345,15-15,58,9,20,7,0,1,6,30,0.517,4,1,12,1,0.397,0,0,0-1,80,8,1,0.989,15,15,Harvard,"7 Bravo, Logan",0.17200000000000004,11.612903225806452,0.4222222222222222,63,0.19047619047619047,0.06349206349206349,0.07722222222222225
"22 Williams, Spencer",0.273,7-Nov,33,3,9,2,0,0,0,11,0.333,2,1,7,0,0.333,0,0,4-Apr,6,0,0,1.0,11,7,Harvard,"22 Williams, Spencer",0.06,3.4571428571428573,0.34615384615384615,36,0.19444444444444445,0.05555555555555555,0.07315384615384612
"9 Rounds, Ben",0.295,13-12,44,9,13,5,0,0,11,18,0.409,7,4,6,2,0.436,0,0,3-Jan,20,0,1,0.952,12,13,Harvard,"9 Rounds, Ben",0.11399999999999999,7.0588235294117645,0.34210526315789475,55,0.10909090909090909,0.12727272727272726,0.04710526315789476
Totals,0.255,18-18,619,90,158,41,1,10,74,231,0.373,61,17,164,12,0.337,4,6,14-Aug,460,135,19,0.969,18,18,Harvard,Totals,0.118,74.39558823529411,0.32962138084632514,707,0.23196605374823195,0.08628005657708628,0.07462138084632514
"31 Feller, Sawyer",0.188,15-14,48,5,9,1,1,1,7,15,0.313,5,2,21,1,0.286,1,1,0-0,69,9,0,1.0,14,15,Harvard,"31 Feller, Sawyer",0.125,3.9622641509433962,0.2962962962962963,57,0.3684210526315789,0.08771929824561403,0.10829629629629628
"6 Cooper, George",0.247,18-18,77,13,19,6,0,3,8,34,0.442,5,1,21,1,0.294,2,1,0-0,23,38,3,0.953,18,18,Harvard,"6 Cooper, George",0.195,9.951219512195122,0.2909090909090909,86,0.2441860465116279,0.05813953488372093,0.0439090909090909
Opponents,0.226,18-18,571,104,129,24,4,15,87,206,0.361,114,24,170,7,0.372,8,2,17-20,480,190,24,0.965,18,18,Harvard,Opponents,0.13499999999999998,73.07737226277372,0.2893401015228426,719,0.2364394993045897,0.15855354659248957,0.06334010152284261
"15 Berger, Jake",0.242,18-18,62,12,15,5,0,2,9,26,0.419,11,4,15,1,0.39,0,0,0-0,27,33,4,0.938,18,18,Harvard,"15 Berger, Jake",0.177,9.26027397260274,0.28888888888888886,77,0.19480519480519481,0.14285714285714285,0.04688888888888887
"11 Jacobsen, Will",0.228,17-17,57,6,13,2,0,0,3,15,0.263,2,0,8,4,0.254,0,2,1-Jan,14,18,4,0.889,17,17,Harvard,"11 Jacobsen, Will",0.035,3.8135593220338984,0.2653061224489796,61,0.13114754098360656,0.03278688524590164,0.0373061224489796
"1 Messervy, Peter",0.189,15-10,37,6,7,2,0,1,2,12,0.324,4,0,10,0,0.268,0,0,0-1,17,2,0,1.0,10,15,Harvard,"1 Messervy, Peter",0.135,3.2195121951219514,0.23076923076923078,41,0.24390243902439024,0.0975609756097561,0.04176923076923078
"24 Brown, Zach",0.162,17-17,68,8,11,2,0,1,4,16,0.235,5,0,19,1,0.219,0,1,0-0,114,12,2,0.984,17,17,Harvard,"24 Brown, Zach",0.07299999999999998,3.506849315068493,0.20833333333333334,74,0.25675675675675674,0.06756756756756757,0.04633333333333334
"13 Thomas, Pryor",0.0,Apr-00,4,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0-0,1,0,0,1.0,0,Apr,Harvard,"13 Thomas, Pryor",0.0,0.0,0.0,4,0.0,0.0,0.0
"29 Schwartz, Grant",0.0,Jan-00,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0-0,0,0,0,0.0,0,Jan,Harvard,"29 Schwartz, Grant",0.0,0.0,0.0,1,0.0,0.0,0.0
"37 Austin, Brice",0.0,Jan-00,1,0,0,0,0,0,0,0,0.0,0,0,1,0,0.0,0,0,0-0,0,0,0,0.0,0,Jan,Harvard,"37 Austin, Brice",0.0,0.0,,1,1.0,0.0,
"36 Buckley, Seamus",0.0,Jan-00,1,0,0,0,0,0,0,0,0.0,0,0,1,0,0.0,0,0,0-0,0,0,0,0.0,0,Jan,Harvard,"36 Buckley, Seamus",0.0,0.0,,1,1.0,0.0,
"28 Matson, Sean",0.0,2-Jul,1,0,0,0,0,0,0,0,0.0,0,0,1,0,0.0,0,0,0-0,0,1,0,1.0,7,2,Harvard,"28 Matson, Sean",0.0,0.0,,1,1.0,0.0,
