Player,ERA,W-L,APP,GS,CG,SHO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,B/AVG,WP,HP,BK,SFA,SHA,School,Index,FIP,K/9,BB/9,K/BB,ERA-FIP,FIP-lgFIP
"21 Zinn, Jaren",7.32,1-Feb,5,5,0,0-0,0,19.2,19,17,16,18,31,3,1,1,0.253,10,4,0,0,1,Harvard,"21 Zinn, Jaren",5.482464511933039,14.53125,8.4375,1.7222222222222223,1.837535488066961,-0.9842813312973648
"28 Matson, Sean",4.34,1-Jan,5,2,0,0-0,0,18.2,18,9,9,7,25,3,1,2,0.25,4,1,0,0,0,Harvard,"28 Matson, Sean",4.597047845266372,12.362637362637363,3.4615384615384617,3.5714285714285716,-0.2570478452663725,-1.8696979979640318
"17 Jordheim, Porter",9.95,0-0,5,0,0,0-0,0,6.1,6,7,7,9,5,0,0,1,0.286,1,2,0,2,0,Harvard,"17 Jordheim, Porter",10.498687189528667,7.3770491803278695,13.278688524590164,0.5555555555555556,-0.5486871895286676,4.031941346298263
Opponents,3.63,11-Jul,71,18,1,2,2,160.3,158,90,65,61,164,41,1,10,0.255,13,17,1,4,6,Harvard,Opponents,4.821626759801619,9.207735495945101,3.4248284466625076,2.6885245901639343,-1.1916267598016193,-1.645119083428785
"77 Williamson, Tim",5.18,1-Feb,5,5,0,0-1,0,24.1,19,14,14,16,21,5,1,2,0.207,2,4,1,1,0,Harvard,"77 Williamson, Tim",6.42277398634521,7.842323651452282,5.975103734439834,1.3125,-1.2427739863452105,-0.043971856885193894
Totals,4.75,7-Nov,64,18,0,2,6,153.1,129,104,81,114,170,24,4,15,0.226,33,24,4,8,2,Harvard,Totals,6.354069399805889,9.99346832135859,6.701502286087525,1.4912280701754386,-1.6040693998058888,-0.11267644342451533
"42 O'Connell, Joseph",13.5,0-0,2,0,0,0-0,0,2.0,4,3,3,2,0,0,0,1,0.4,0,1,0,0,0,Harvard,"42 O'Connell, Joseph",15.597047845266372,0.0,9.0,0.0,-2.0970478452663723,9.130302002035968
"11 Jacobsen, Will",5.11,2-Jan,5,2,0,0-0,1,12.1,11,9,7,7,4,4,0,1,0.239,0,2,1,2,0,Harvard,"11 Jacobsen, Will",7.241675944439926,2.9752066115702482,5.206611570247934,0.5714285714285715,-2.131675944439926,0.774930101209522
"33 Buckner, Ian",6.75,0-0,2,0,0,0-0,0,6.2,6,7,5,4,7,2,0,2,0.222,4,1,0,0,0,Harvard,"33 Buckner, Ian",8.95188655494379,10.161290322580644,5.806451612903226,1.7499999999999998,-2.2018865549437905,2.4851407117133864
"23 Driver, Jay",0.0,0-0,7,0,0,0-2,3,12.0,4,0,0,3,20,1,0,0,0.105,3,1,0,1,0,Harvard,"23 Driver, Jay",2.263714511933039,15.0,2.25,6.666666666666667,-2.263714511933039,-4.203031331297366
"30 Narottam, Uday",1.46,Jan-00,6,0,0,0-0,1,12.1,9,4,2,5,10,1,1,0,0.205,0,1,0,0,1,Harvard,"30 Narottam, Uday",4.431758589068025,7.43801652892562,3.71900826446281,2.0,-2.971758589068025,-2.0349872541623792
"34 Clark, Chris",1.54,Jan-00,7,0,0,0-0,1,11.2,7,2,2,6,17,1,0,1,0.175,1,1,0,1,0,Harvard,"34 Clark, Chris",4.597047845266372,13.660714285714286,4.821428571428572,2.833333333333333,-3.0570478452663723,-1.8696979979640318
"25 Stone, Adam",3.95,2-Jan,4,4,0,0-1,0,13.2,11,15,6,20,16,3,0,0,0.22,3,3,1,0,0,Harvard,"25 Stone, Adam",7.400078148296675,10.90909090909091,13.636363636363637,0.8,-3.450078148296675,0.933332305066271
"50 Smith, Tanner",5.4,Feb-00,8,0,0,0-2,0,10.0,9,9,6,10,12,1,0,3,0.231,4,0,1,0,0,Harvard,"50 Smith, Tanner",9.097047845266372,10.8,9.0,1.2000000000000002,-3.697047845266372,2.630302002035968
"13 Thomas, Pryor",13.5,0-0,2,0,0,0-0,0,2.2,6,8,4,5,0,0,0,1,0.429,1,2,0,1,0,Harvard,"13 Thomas, Pryor",20.051593299811827,0.0,20.454545454545453,0.0,-6.551593299811827,13.584847456581423
"32 Mahala, Jack",0.0,0-0,1,0,0,0-0,0,1.0,0,0,0,2,2,0,0,0,0.0,0,1,0,0,0,Harvard,"32 Mahala, Jack",9.597047845266372,18.0,18.0,1.0,-9.597047845266372,3.130302002035968
