Player,AVG,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,OB%,SF,SH,SB-ATT,PO,A,GP,GS,SO,GDP,E,FLD%,School,Index,ISO,RC,BABIP,PA,K%,BB%,BABIP-AVG
"Henseler, Wyatt",0.438,21-21,80,21,35,6,0,7,27,62,0.775,11,6,0.52,3,0,0-0,16,30,21,21,19,1,1,0.000979,Penn,"Henseler, Wyatt",0.337,31.34065934065934,0.49122807017543857,100,0.19,0.11,0.05322807017543857
"Polo, Nate",0.273,8-Aug,22,8,6,1,0,0,4,7,0.318,7,1,0.467,0,0,1-Jan,6,0,8,8,9,2,0,0.001,Penn,"Polo, Nate",0.044999999999999984,3.1379310344827585,0.46153846153846156,30,0.3,0.23333333333333334,0.18853846153846154
"Wilson, Asa",0.333,9-Oct,36,9,12,4,0,1,6,19,0.528,0,3,0.385,0,1,0-0,91,11,10,9,11,0,2,0.0009809999999999999,Penn,"Wilson, Asa",0.195,6.333333333333333,0.4583333333333333,40,0.275,0.0,0.1253333333333333
"Ozmer, Carson",0.25,4-Jul,16,4,4,1,0,1,2,8,0.5,5,0,0.429,0,0,0-0,0,0,7,4,8,0,0,0.0,Penn,"Ozmer, Carson",0.25,3.4285714285714284,0.42857142857142855,21,0.38095238095238093,0.23809523809523808,0.17857142857142855
"Courtney, Tommy",0.355,21-21,93,19,33,2,1,2,12,43,0.462,7,0,0.4,0,4,6-Apr,41,0,21,21,17,1,1,0.000976,Penn,"Courtney, Tommy",0.10700000000000004,17.2,0.4189189189189189,104,0.16346153846153846,0.0673076923076923,0.06391891891891893
"Hernandez, Andrew",0.371,10-Oct,35,5,13,1,0,1,6,17,0.486,4,1,0.45,0,0,1-Jan,59,7,10,10,3,0,1,0.000985,Penn,"Hernandez, Andrew",0.11499999999999999,7.410256410256411,0.3870967741935484,40,0.075,0.1,0.01609677419354838
"Brown, Calvin",0.244,16-9,41,4,10,1,0,0,1,11,0.268,4,0,0.311,0,1,1-Jan,24,0,9,16,15,0,0,0.001,Penn,"Brown, Calvin",0.02400000000000002,3.422222222222222,0.38461538461538464,46,0.32608695652173914,0.08695652173913043,0.14061538461538464
"Appel, Jackson",0.38,17-17,71,23,27,3,0,2,7,36,0.507,8,1,0.45,0,0,5-May,63,7,17,17,3,1,0,0.001,Penn,"Appel, Jackson",0.127,15.949367088607595,0.3787878787878788,80,0.0375,0.1,-0.00121212121212122
Totals,0.309,21,739,149,228,43,3,20,132,337,0.456,88,14,0.388,9,8,15-21,533,157,21,21,167,12,20,0.000972,Penn,Totals,0.14700000000000002,128.76904474002419,0.37076648841354726,858,0.19463869463869463,0.10256410256410256,0.06176648841354726
"Larsen, Craig",0.292,21-21,89,14,26,5,0,1,18,34,0.382,3,1,0.319,1,2,1-Jan,23,35,21,21,17,3,5,0.000921,Penn,"Larsen, Craig",0.09000000000000002,10.717391304347826,0.3472222222222222,96,0.17708333333333334,0.03125,0.05522222222222223
"Werchan, Seth",0.284,21-21,74,10,21,3,2,1,15,31,0.419,12,0,0.375,2,0,3-Feb,41,2,21,21,17,1,0,0.001,Penn,"Werchan, Seth",0.135,11.895348837209303,0.3448275862068966,88,0.19318181818181818,0.13636363636363635,0.0608275862068966
Opponents,0.237,21,651,105,154,30,4,14,94,234,0.359,102,22,0.354,11,6,41-53,534,180,21,21,213,12,26,0.0009649999999999999,Penn,Opponents,0.122,79.55378486055777,0.3218390804597701,792,0.2689393939393939,0.12878787878787878,0.08483908045977012
"Miller, Ben",0.265,21-21,83,20,22,11,0,2,17,39,0.47,10,1,0.344,2,0,0-1,128,8,21,21,19,3,4,0.000971,Penn,"Miller, Ben",0.20499999999999996,13.419354838709678,0.3125,96,0.19791666666666666,0.10416666666666667,0.04749999999999999
"Palis, Cole",0.225,21-21,80,9,18,4,0,2,17,28,0.35,14,0,0.337,1,0,0-2,24,37,21,21,16,0,2,0.000968,Penn,"Palis, Cole",0.12499999999999997,9.53191489361702,0.25396825396825395,95,0.16842105263157894,0.14736842105263157,0.02896825396825395
"McGonigal, Cole",0.056,6-Aug,18,3,1,1,0,0,0,2,0.111,3,0,0.19,0,0,0-0,10,0,8,6,12,0,0,0.001,Penn,"McGonigal, Cole",0.055,0.38095238095238093,0.16666666666666666,21,0.5714285714285714,0.14285714285714285,0.11066666666666666
"Neskie, Justin",0.0,Feb-00,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0-0,0,0,00,Feb,1,0,0,0.0,Penn,"Neskie, Justin",0.0,0.0,,1,1.0,0.0,
"Rogers, Drew",0.0,Jan-00,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0-0,0,0,00,Jan,0,0,0,0.0,Penn,"Rogers, Drew",0.0,,,0,,,
