Player,AVG,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT,PO,A,E,FLD%,GP,GS,School,Index,ISO,RC,BABIP,PA,K%,BB%,BABIP-AVG
"Kram, Kaden",0.19,4-Sep,21,4,4,1,0,0,0,5,0.238,1,1,14,0,0.261,0,0,0-0,27,1,1,0.966,9,4,Princeton,"Kram, Kaden",0.04799999999999999,1.1363636363636365,0.5714285714285714,23,0.6086956521739131,0.043478260869565216,0.3814285714285714
"Emus, Jackson",0.419,8-Sep,31,3,13,2,0,0,7,15,0.484,1,0,7,0,0.438,0,0,0-0,31,7,2,0.95,9,8,Princeton,"Emus, Jackson",0.065,6.5625,0.5416666666666666,32,0.21875,0.03125,0.12266666666666665
"Kelly, Jordan",0.288,17-15,52,12,15,1,2,1,5,23,0.442,5,1,21,0,0.362,0,0,0-0,12,24,9,0.8,15,17,Princeton,"Kelly, Jordan",0.15400000000000003,8.070175438596491,0.4666666666666667,58,0.3620689655172414,0.08620689655172414,0.1786666666666667
"Lewis, Nadir",0.422,18-18,64,18,27,5,1,7,22,55,0.859,19,0,16,0,0.541,2,0,3-Mar,45,1,1,0.979,18,18,Princeton,"Lewis, Nadir",0.437,30.481927710843372,0.46511627906976744,85,0.18823529411764706,0.2235294117647059,0.04311627906976745
"Marasheski, Eric",0.24,6-Nov,25,6,6,0,0,1,3,9,0.36,3,4,12,0,0.406,0,0,0-0,10,18,0,1.0,11,6,Princeton,"Marasheski, Eric",0.12,2.892857142857143,0.4166666666666667,32,0.375,0.09375,0.1766666666666667
"Abello, Carlos",0.261,17-14,46,4,12,2,0,0,3,14,0.304,5,0,17,0,0.333,0,0,0-0,79,9,0,1.0,14,17,Princeton,"Abello, Carlos",0.04299999999999998,4.666666666666667,0.41379310344827586,51,0.3333333333333333,0.09803921568627451,0.15279310344827585
"Cumming, Brendan",0.39,18-18,82,21,32,7,0,6,19,57,0.695,5,4,9,2,0.451,0,0,3-Jan,46,0,3,0.939,18,18,Princeton,"Cumming, Brendan",0.30499999999999994,24.24137931034483,0.3880597014925373,91,0.0989010989010989,0.054945054945054944,-0.00194029850746269
Totals,0.277,18-18,638,104,177,26,3,23,99,278,0.436,68,21,197,4,0.362,7,4,8-May,447,164,27,0.958,18,18,Princeton,Totals,0.15899999999999997,96.47308781869688,0.3623529411764706,738,0.2669376693766938,0.0921409214092141,0.08535294117647058
"Shapiro, Caden",0.24,13-7,25,3,6,0,0,0,2,6,0.24,2,3,9,0,0.355,1,0,0-0,10,0,0,1.0,7,13,Princeton,"Shapiro, Caden",0.0,1.7777777777777777,0.35294117647058826,31,0.2903225806451613,0.06451612903225806,0.11294117647058827
"Scannell, Matt",0.293,16-15,58,6,17,2,0,3,15,28,0.483,5,3,16,1,0.373,1,1,1-Jan,77,5,1,0.988,15,16,Princeton,"Scannell, Matt",0.19,9.777777777777779,0.35,68,0.23529411764705882,0.07352941176470588,0.056999999999999995
Opponents,0.313,18-18,620,148,194,36,3,26,141,314,0.506,78,25,103,3,0.405,11,13,33-37,480,131,17,0.973,18,18,Princeton,Opponents,0.193,122.36103151862464,0.3346613545816733,747,0.13788487282463185,0.10441767068273092,0.021661354581673287
"DiPietrantonio, Nick",0.256,14-9,43,11,11,0,0,3,8,20,0.465,5,0,16,0,0.333,0,0,0-0,1,7,0,1.0,9,14,Princeton,"DiPietrantonio, Nick",0.20900000000000002,6.666666666666667,0.3333333333333333,48,0.3333333333333333,0.10416666666666667,0.07733333333333331
"Espinel, Alejandro",0.235,15-14,51,5,12,2,0,0,2,14,0.275,2,1,13,0,0.278,0,1,0-0,17,29,2,0.958,14,15,Princeton,"Espinel, Alejandro",0.040000000000000036,3.69811320754717,0.3157894736842105,55,0.23636363636363636,0.03636363636363636,0.08078947368421052
"Granet, Noah",0.194,18-18,72,5,14,3,0,1,9,20,0.278,7,0,17,0,0.259,2,1,0-0,22,36,6,0.906,18,18,Princeton,"Granet, Noah",0.08400000000000002,5.3164556962025316,0.23214285714285715,82,0.2073170731707317,0.08536585365853659,0.038142857142857145
"Blowers, Kevin",0.158,3-Oct,19,3,3,1,0,0,2,4,0.211,3,0,7,0,0.261,1,0,0-0,4,7,1,0.917,10,3,Princeton,"Blowers, Kevin",0.05299999999999999,1.0909090909090908,0.23076923076923078,23,0.30434782608695654,0.13043478260869565,0.07276923076923078
"Bandura, Scott",0.16,7-Aug,25,2,4,0,0,0,1,4,0.16,3,1,7,1,0.276,0,1,0-1,12,0,0,1.0,8,7,Princeton,"Bandura, Scott",0.0,1.0,0.2222222222222222,30,0.23333333333333334,0.1,0.06222222222222221
"Vinci, Kyle",0.043,15-6,23,1,1,0,0,1,1,4,0.174,2,3,15,0,0.214,0,0,0-0,45,4,1,0.98,6,15,Princeton,"Vinci, Kyle",0.131,0.48,0.0,28,0.5357142857142857,0.07142857142857142,-0.043
"Zdimal, Max",0.0,Jan-00,1,0,0,0,0,0,0,0,0.0,0,0,1,0,0.0,0,0,0-0,0,0,0,0.0,0,Jan,Princeton,"Zdimal, Max",0.0,0.0,,1,1.0,0.0,
