Player,ERA,W-L,APP-GS,CG,SHO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,AB,B/AVG,WP,HP,BK,SFA,SHA,School,Index,FIP,K/9,BB/9,K/BB,ERA-FIP,FIP-lgFIP
"Gabrielson, Keith",19.29,0-0,Mar-00,0,0/0,0,2.1,5,5,5,3,1,3,0,0,12,0.417,0,0,0,0,0,Princeton,"Gabrielson, Keith",7.930381178599705,4.285714285714286,12.857142857142856,0.33333333333333337,11.359618821400293,1.4636353353693012
"Chmielewski, Tom",9.0,3-Jan,5-May,0,0/0,0,23.0,41,29,23,8,18,9,0,2,109,0.376,2,2,0,4,3,Princeton,"Chmielewski, Tom",5.466613062657677,7.043478260869565,3.130434782608696,2.25,3.533386937342323,-1.0001327805727271
"Rabin, Reece",13.09,0-3,2-May,0,0/0,0,11.0,21,21,16,7,6,6,0,3,53,0.396,1,3,0,0,3,Princeton,"Rabin, Reece",9.778866027084554,4.909090909090909,5.7272727272727275,0.8571428571428571,3.311133972915446,3.31212018385415
"MacDonald, Caden",4.76,0-1,Jul-00,0,0/0,0,5.2,8,3,3,0,3,1,0,0,24,0.333,0,1,0,1,0,Princeton,"MacDonald, Caden",4.020124768343296,5.1923076923076925,0.0,inf,0.7398752316567041,-2.4466210748871084
"Jarvis, Patrick",9.53,0-0,Jun-00,0,0/0,1,11.1,11,13,12,10,12,3,0,2,47,0.234,2,5,0,0,0,Princeton,"Jarvis, Patrick",8.831282079500607,9.72972972972973,8.108108108108109,1.2,0.6987179204993925,2.3645362362702027
"Ramirez, Jason",6.0,0-1,1-May,0,0/0,0,9.0,11,6,6,1,5,1,0,1,35,0.314,1,1,0,1,1,Princeton,"Ramirez, Jason",5.597047845266372,5.0,1.0,5.0,0.40295215473362767,-0.8696979979640318
Totals,7.73,16-Feb,18-18,0,0/0,1,149.0,194,148,128,78,103,36,3,26,620,0.313,13,25,3,11,13,Princeton,Totals,7.556779388890533,6.221476510067114,4.7114093959731544,1.3205128205128205,0.17322061110946763,1.0900335456601287
"Hoefer, Eric",7.53,1-Jan,Jun-00,0,0/0,0,14.1,22,15,12,7,8,5,0,3,62,0.355,1,1,0,1,1,Princeton,"Hoefer, Eric",7.930381178599706,5.1063829787234045,4.468085106382979,1.1428571428571428,-0.400381178599706,1.4636353353693021
Opponents,5.01,16-2,18-18,0,0/0,5,160.0,177,104,89,68,197,26,3,23,638,0.277,21,21,0,7,4,Princeton,Opponents,5.6720478452663725,11.08125,3.825,2.8970588235294117,-0.6620478452663727,-0.7946979979640316
"Emus, Jackson",5.14,0-3,5-May,0,0/0,0,28.0,27,17,16,10,31,3,1,5,109,0.248,3,5,1,0,1,Princeton,"Emus, Jackson",6.311333559552087,9.964285714285714,3.2142857142857144,3.0999999999999996,-1.171333559552087,-0.1554122836783174
"Zdimal, Max",8.44,0-0,Apr-00,0,0/0,0,5.1,8,5,5,2,5,2,0,2,24,0.333,1,2,1,0,0,Princeton,"Zdimal, Max",10.087243923697745,8.823529411764707,3.5294117647058827,2.5,-1.6472439236977454,3.620498080467341
"D'Alessio, Andrew",7.14,0-3,5-May,0,0/0,0,29.0,32,26,23,16,10,3,1,7,111,0.288,1,2,1,4,2,Princeton,"D'Alessio, Andrew",8.90739267285258,3.103448275862069,4.9655172413793105,0.625,-1.7673926728525808,2.4406468296221764
"Ferrer-Westrop, Rich",0.0,0-0,Jan-00,0,0/0,0,1.0,0,0,0,0,1,0,0,0,3,0.0,0,0,0,0,0,Princeton,"Ferrer-Westrop, Rich",2.5970478452663723,9.0,0.0,inf,-2.5970478452663723,-3.869697997964032
"Scannell, Matt",13.5,0-1,Mar-00,0,0/0,0,4.2,6,8,7,11,3,0,0,1,17,0.353,1,3,0,0,2,Princeton,"Scannell, Matt",16.26371451193304,6.428571428571428,23.57142857142857,0.2727272727272727,-2.7637145119330384,9.796968668702634
"Shapiro, Caden",0.0,0-0,Apr-00,0,0/0,0,4.1,2,0,0,3,0,0,1,0,14,0.143,0,0,0,0,0,Princeton,"Shapiro, Caden",6.792169796485885,0.0,6.585365853658537,0.0,-6.792169796485885,0.32542395325548057
