Player,AVG,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT,PO,A,E,FLD%,GP,GS,School,Index,ISO,RC,BABIP,PA,K%,BB%,BABIP-AVG
"40 Solomon, Joshua",0.258,18-18,66,10,17,3,0,3,6,29,0.439,6,1,33,2,0.329,0,0,6-Jun,39,1,1,0.976,18,18,Columbia,"40 Solomon, Joshua",0.181,9.26388888888889,0.4666666666666667,73,0.4520547945205479,0.0821917808219178,0.20866666666666667
"15 Lazits, Anton",0.313,18-18,64,10,20,5,1,1,6,30,0.469,6,0,15,0,0.366,1,0,2-Feb,15,13,3,0.903,18,18,Columbia,"15 Lazits, Anton",0.15599999999999997,11.142857142857142,0.3877551020408163,71,0.2112676056338028,0.08450704225352113,0.07475510204081631
Opponents,0.32,19-19,643,128,206,47,3,17,115,310,0.482,75,21,122,10,0.405,6,11,20-Nov,498,174,17,0.975,19,19,Columbia,Opponents,0.16199999999999998,121.32311977715878,0.37058823529411766,756,0.16137566137566137,0.0992063492063492,0.050588235294117656
"23 MacGregor, Tyler",0.274,19-19,73,9,20,4,1,2,12,32,0.438,7,1,23,1,0.341,1,0,4-Mar,146,18,4,0.976,19,19,Columbia,"23 MacGregor, Tyler",0.16399999999999998,10.8,0.3673469387755102,82,0.2804878048780488,0.08536585365853659,0.0933469387755102
"26 Hage, Cole",0.304,17-17,56,12,17,3,0,2,8,26,0.464,10,4,13,0,0.431,2,0,6-Apr,21,2,1,0.958,17,17,Columbia,"26 Hage, Cole",0.16000000000000003,10.636363636363637,0.3488372093023256,72,0.18055555555555555,0.1388888888888889,0.0448372093023256
"22 Schott, Hayden",0.3,19-18,70,11,21,4,0,3,13,34,0.486,4,0,15,2,0.338,0,0,2-Jan,38,1,0,1.0,18,19,Columbia,"22 Schott, Hayden",0.186,11.486486486486486,0.34615384615384615,74,0.20270270270270271,0.05405405405405406,0.046153846153846156
Totals,0.253,19-19,632,107,160,30,5,21,97,263,0.416,57,14,180,6,0.323,12,4,22-28,474,192,27,0.961,19,19,Columbia,Totals,0.16299999999999998,82.83164005805516,0.31376975169300225,719,0.25034770514603616,0.07927677329624479,0.06076975169300225
"38 Eberly, Weston",0.25,16-16,52,13,13,1,3,2,10,26,0.5,7,0,13,0,0.339,0,1,2-Jan,107,18,4,0.969,16,16,Columbia,"38 Eberly, Weston",0.25,8.813559322033898,0.2972972972972973,60,0.21666666666666667,0.11666666666666667,0.047297297297297314
"42 Blake, Andy",0.214,16-15,56,10,12,2,0,3,13,23,0.411,8,1,18,0,0.318,1,0,0-0,0,0,0,0.0,15,16,Columbia,"42 Blake, Andy",0.19699999999999998,7.1875,0.25,66,0.2727272727272727,0.12121212121212122,0.036000000000000004
"21 Phelps, Jacob",0.179,19-12,56,7,10,2,0,0,6,12,0.214,4,2,16,0,0.246,3,1,0-0,20,59,6,0.929,12,19,Columbia,"21 Phelps, Jacob",0.035,2.8,0.23255813953488372,66,0.24242424242424243,0.06060606060606061,0.053558139534883725
