Player,School,AVG,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,OB%,BB,HBP,SO,GDP,SF,SH,SB-ATT,PO,A,E,FLD%,GP,GS,ISO,RC,BABIP,PA,K%,BB%,BABIP-AVG,OPS+,,,,,,,
"Lewis, Nadir",Princeton,0.422,18-18,64.000,18.000,27.000,5,1,7,22,55,0.859,0.541,19,0,16,0,2,0,3-Mar,45,1,1,.979,18,18,.437,30.48,.465,85.00,18.82%,22.35%,.043,265.5072032,,,,,,,
"Henseler, Wyatt",Penn,0.438,21-21,80.000,21.000,35.000,6,0,7,27,62,0.775,.520,11,6,0.52,3,0-0,16,29-Jan,21,21,19,1.000,1,0.000979,.337,31.34,.491,100.00,19.00%,11.00%,.053,238.8988738,,,,,,,
"3 Ross, Ryan",Cornell,0.28,10-7,25.000,6.000,7.000,2,2,2,9,19,0.76,0.438,4,3,12,0,0,0,0-1,14,9,1,.958,10,7,0.48,7.207,0.4545454545,32.00,37.50%,0.125,0.1745454545,211.7444154,,,,,,,
"Cumming, Brendan",Princeton,0.39,18-18,82.000,21.000,32.000,7,0,6,19,57,0.695,0.451,5,4,9,2,0,0,3-Jan,46,0,3,.939,18,18,.305,24.24,.388,91.00,9.89%,5.49%,-.002,199.5289102,,,,,,,
"4 Chatfield, Jimmy",Yale,0.349,17-17,63.000,14.000,22.000,2,0,5,21,39,0.619,0.468,13,2,11,0,1,0,6-May,36,1,1,.974,17,17,.270,17.96,.354,79.00,13.92%,16.46%,.005,185.7615055,,,,,,,
"40 Waugh, Nathan",Cornell,0.308,10-6,26.000,7.000,8.000,1,1,2,3,17,0.654,0.419,5,0,12,0,0,0,0-0,38,4,4,.913,10,6,0.35,7.129,0.5,31.00,38.71%,0.1612903226,0.192,180.3144874,,,,,,,
"30 Hollerbach, Joe",Cornell,0.345,14-14,58.000,7.000,20.000,5,1,3,9,36,0.621,0.424,8,0,21,4,0,0,3-Mar,10,29,4,.907,14,14,0.28,15.273,0.5,66.00,31.82%,0.1212121212,0.155,173.6546894,,,,,,,
"7 House, James",Dartmouth,0.346,8-Aug,26.000,7.000,9.000,1,2,0,11,14,0.538,0.485,4,3,3,2,0,0,0-0,1,0,0,1.000,8,8,.192,6.07,.391,33.00,9.09%,12.12%,.045,170.7681466,,,,,,,
"23 Bertsch, Connor",Dartmouth,0.339,16-16,62.000,12.000,21.000,5,0,4,14,38,0.613,0.406,7,0,12,2,0,0,1-Jan,15,24,6,.867,16,16,.274,15.42,.370,69.00,17.39%,10.14%,.031,166.5397636,,,,,,,
"19 Freeman, Kolton",Dartmouth,0.302,17-17,63.000,16.000,19.000,2,1,5,14,38,0.603,0.397,7,3,10,1,0,0,2-Jan,40,1,2,.953,17,17,.301,14.11,.292,73.00,13.70%,9.59%,-.010,161.5111557,,,,,,,
"27 Snopek, Chris",Harvard,0.397,18-18,68.000,12.000,27.000,4,0,1,12,34,0.5,0.481,8,3,17,1,0,0,0-2,20,1,2,.913,18,18,.103,15.66,.520,79.00,21.52%,10.13%,.123,160.3056949,,,,,,,
"38 Porter, Ryan",Cornell,0.269,13-9,26.000,9.000,7.000,1,1,1,5,13,0.5,0.474,10,1,9,0,1,0,4-Mar,11,33,1,.978,9,13,0.23,6.139,0.3529411765,38.00,23.68%,0.2631578947,0.08394117647,158.3015952,,,,,,,
"Appel, Jackson",Penn,0.38,17-17,71.000,23.000,27.000,3,0,2,7,36,0.507,.450,8,1,0.45,0,5-5,63,6-Jan,17,17,3,1.000,0,0.001,.127,15.95,.379,80.00,3.75%,10.00%,-.001,153.1467324,,,,,,,
"Hernandez, Andrew",Penn,0.371,10-10,35.000,5.000,13.000,1,0,1,6,17,0.486,.450,4,1,0.45,0,1-Jan,59,6-Jan,10,10,3,.000,1,0.000985,.115,7.41,.387,40.00,7.50%,10.00%,.016,147.9977247,,,,,,,
"Emus, Jackson",Princeton,0.419,9-8,31.000,3.000,13.000,2,0,0,7,15,0.484,0.438,1,0,7,0,0,0,0-0,31,7,2,.950,9,8,.065,6.56,.542,32.00,21.88%,3.13%,.123,144.0717437,,,,,,,
"2 Barnhorst, Matt",Cornell,0.278,11-10,36.000,10.000,10.000,3,0,2,3,19,0.528,0.395,5,2,15,1,0,0,5-Apr,23,27,2,.962,11,10,0.25,6.951,0.4210526316,43.00,34.88%,0.1162790698,0.1430526316,142.5492428,,,,,,,
"5 Murray, Justin",Dartmouth,0.326,16-16,46.000,10.000,15.000,8,0,0,6,23,0.5,0.418,8,0,8,2,1,1,0-0,43,3,1,.979,16,16,.174,9.80,.385,56.00,14.29%,14.29%,.059,142.2687981,,,,,,,
