Player,AVG,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT,PO,A,E,FLD%,GP,GS,School,Index,ISO,RC,BABIP,PA,K%,BB%,BABIP-AVG
"7 Hague, Teddy",0.5,1-Jan,2,0,1,0,0,0,0,1,0.5,1,0,1,0,0.667,0,0,0-0,0,0,0,0.0,1,1,Yale,"7 Hague, Teddy",0.0,0.6666666666666666,1.0,3,0.3333333333333333,0.3333333333333333,0.5
"33 Imhoff, Max",0.333,2-May,9,0,3,1,0,0,1,4,0.444,1,0,3,0,0.4,0,0,0-1,19,1,1,0.952,5,2,Yale,"33 Imhoff, Max",0.11099999999999999,1.6,0.5,10,0.3,0.1,0.16699999999999998
"9 Shaw, Colton",0.289,17-17,45,10,13,4,0,0,4,17,0.378,3,2,14,0,0.36,0,1,2-Feb,100,6,1,0.991,17,17,Yale,"9 Shaw, Colton",0.08900000000000002,5.666666666666667,0.41935483870967744,51,0.27450980392156865,0.058823529411764705,0.13035483870967746
"24 Metzner, Ben",0.295,15-13,44,7,13,2,0,1,15,18,0.409,7,1,13,0,0.396,1,1,5-May,1,0,0,1.0,13,15,Yale,"24 Metzner, Ben",0.11399999999999999,7.0588235294117645,0.3870967741935484,54,0.24074074074074073,0.12962962962962962,0.09209677419354839
"4 Chatfield, Jimmy",0.349,17-17,63,14,22,2,0,5,21,39,0.619,13,2,11,0,0.468,1,0,6-May,36,1,1,0.974,17,17,Yale,"4 Chatfield, Jimmy",0.27,17.960526315789473,0.3541666666666667,79,0.13924050632911392,0.16455696202531644,0.005166666666666708
"3 LaPlante, Mason",0.31,17-17,71,20,22,3,0,1,8,28,0.394,9,3,10,1,0.405,1,0,7-Jun,23,46,3,0.958,17,17,Yale,"3 LaPlante, Mason",0.08400000000000002,10.85,0.3442622950819672,84,0.11904761904761904,0.10714285714285714,0.03426229508196721
"6 Williams, Jake",0.217,14-13,46,7,10,3,0,0,2,13,0.283,5,0,15,0,0.294,0,0,2-Jan,14,26,0,1.0,13,14,Yale,"6 Williams, Jake",0.06599999999999998,3.823529411764706,0.3225806451612903,51,0.29411764705882354,0.09803921568627451,0.10558064516129032
Opponents,0.26,17-17,584,110,152,29,4,24,103,261,0.447,67,30,150,3,0.363,5,6,19-23,456,156,24,0.962,17,17,Yale,Opponents,0.187,87.80184331797236,0.30843373493975906,692,0.21676300578034682,0.0968208092485549,0.048433734939759054
Totals,0.252,17-17,591,110,149,27,3,14,100,224,0.379,73,17,147,5,0.347,8,5,32-39,449,148,17,0.972,17,17,Yale,Totals,0.127,74.89156626506023,0.3082191780821918,694,0.21181556195965417,0.10518731988472622,0.05621917808219179
"11 Atkinson, Alec",0.273,17-17,66,13,18,7,0,0,12,25,0.379,9,1,9,0,0.359,2,0,2-Jan,49,4,1,0.981,17,17,Yale,"11 Atkinson, Alec",0.10599999999999998,9.0,0.3050847457627119,78,0.11538461538461539,0.11538461538461539,0.032084745762711864
"2 Gaich, AJ",0.148,6-Nov,27,1,4,0,0,0,4,4,0.148,2,0,13,0,0.207,0,1,1-Jan,14,0,0,1.0,11,6,Yale,"2 Gaich, AJ",0.0,0.8275862068965517,0.2857142857142857,30,0.43333333333333335,0.06666666666666667,0.1377142857142857
"17 Martin, Tommy",0.208,17-17,53,9,11,1,1,0,6,14,0.264,8,1,15,0,0.317,1,2,2-Feb,29,2,2,0.939,17,17,Yale,"17 Martin, Tommy",0.05600000000000002,4.360655737704918,0.28205128205128205,65,0.23076923076923078,0.12307692307692308,0.07405128205128206
"12 Gehri, Jake",0.241,17-15,54,10,13,1,0,4,14,26,0.481,5,3,16,1,0.328,2,0,3-Jan,126,14,1,0.993,15,17,Yale,"12 Gehri, Jake",0.24,7.932203389830509,0.25,64,0.25,0.078125,0.009000000000000008
"35 Ciulla, Robert",0.167,Apr-00,6,0,1,0,0,0,0,1,0.167,0,0,2,0,0.167,0,0,0-0,1,0,0,1.0,0,Apr,Yale,"35 Ciulla, Robert",0.0,0.16666666666666666,0.25,6,0.3333333333333333,0.0,0.08299999999999999
